epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.940069,0.076362,2.660173,0.414682,0.996
2,-0.993488,0.046395,3.294105,0.099526,0.996004
3,-0.997392,0.014438,3.523342,0.077646,0.996016
4,-0.998771,0.009383,3.606418,0.089156,0.996037
5,-0.998767,0.011052,3.801439,0.108497,0.996065
6,-0.998435,0.014555,3.854484,0.102707,0.996102
7,-0.998385,0.011459,3.887764,0.084747,0.996146
8,-0.998918,0.010455,4.070876,0.043299,0.996198
9,-0.996188,0.023585,4.416231,0.160133,0.996257
10,-0.988991,0.043212,5.486858,1.087288,0.996324
11,-0.99827,0.010364,7.260448,0.147124,0.996397
12,-0.999419,0.006451,7.512562,0.277688,0.996477
13,-0.999065,0.009306,8.008066,0.107198,0.996563
14,-0.99981,0.003762,7.9691,0.150295,0.996655
15,-0.999537,0.005917,8.046088,0.183909,0.996753
16,-0.998833,0.008755,8.707213,0.480306,0.996856
17,-0.99924,0.008189,9.411526,0.163964,0.996963
18,-0.998546,0.020557,10.601389,0.63469,0.997075
19,-0.99978,0.004725,11.277808,0.170267,0.99719
20,-0.899289,0.222778,17.678801,5.782778,0.997309
21,-0.99312,0.024859,25.84993,0.52694,0.997431
22,-0.997371,0.016753,26.022253,0.517103,0.997555
23,-0.996907,0.020044,25.143126,0.632651,0.997681
24,-0.999573,0.005596,24.981504,0.623328,0.997808
25,-0.998498,0.01138,25.12731,0.582935,0.997936
26,-0.999973,0.000338,24.889006,0.656192,0.998064
27,-0.999505,0.00915,25.010681,0.669411,0.998192
28,-0.998823,0.009963,25.494371,0.713328,0.998319
29,-0.998617,0.014354,26.422297,0.638032,0.998445
30,-0.99846,0.012073,25.737288,0.994871,0.998569
31,-0.999359,0.007778,25.776144,1.072227,0.998691
32,-0.99979,0.004611,26.334637,0.896028,0.99881
33,-0.999954,0.000833,26.605736,0.846438,0.998925
34,-0.99898,0.009598,26.324308,0.859667,0.999037
35,-0.999791,0.004415,26.52536,0.812649,0.999144
36,-0.998624,0.009029,28.064653,1.183606,0.999247
37,-0.999175,0.008823,29.031898,0.971223,0.999345
38,-0.998691,0.012195,28.322008,0.857279,0.999437
39,-0.999046,0.007629,28.101954,0.563784,0.999523
40,-0.998442,0.010359,29.154764,0.39987,0.999603
41,-0.999806,0.002749,29.810797,0.477896,0.999676
42,-0.999495,0.005703,30.720289,1.08488,0.999743
43,-0.99964,0.003671,32.681293,0.35943,0.999802
44,-0.999542,0.005043,33.242798,0.275987,0.999854
45,-0.999564,0.005354,33.722477,0.419386,0.999898
46,-0.99961,0.005495,34.834175,0.855816,0.999935
47,-0.999691,0.005014,36.609261,0.41178,0.999963
48,-0.999593,0.006322,37.170948,0.431127,0.999984
49,-0.998801,0.009219,37.803699,0.561826,0.999996
50,-0.999699,0.004664,37.837437,0.343813,1.0
