epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.950259,0.106988,2.919224,0.600768,0.996
2,-0.99631,0.020247,3.801261,0.072895,0.996004
3,-0.989183,0.041422,4.137268,0.337763,0.996016
4,-0.998457,0.001963,4.574938,0.157338,0.996037
5,-0.9997,0.000418,4.5869,0.120399,0.996065
6,-0.998932,0.005084,4.58573,0.121256,0.996102
7,-0.994841,0.006196,4.885748,0.214902,0.996146
8,-0.97602,0.019215,5.711728,0.408016,0.996198
9,-0.962245,0.020915,7.350957,0.553984,0.996257
10,-0.933723,0.037933,8.765512,0.572977,0.996324
11,-0.925137,0.046546,10.944546,0.791507,0.996397
12,-0.946056,0.041364,11.380897,0.6813,0.996477
13,-0.9584,0.036661,11.819904,0.841568,0.996563
14,-0.963906,0.041789,12.464337,0.973468,0.996655
15,-0.979577,0.030305,13.11725,0.956274,0.996753
16,-0.98771,0.017782,13.476036,0.811475,0.996856
17,-0.995417,0.008112,13.915101,0.668645,0.996963
18,-0.991125,0.01534,15.151105,0.693118,0.997075
19,-0.993784,0.014617,15.405694,0.436185,0.99719
20,-0.995626,0.006007,15.862463,0.422968,0.997309
21,-0.994393,0.00477,16.222712,0.472836,0.997431
22,-0.991248,0.01107,17.102531,0.716733,0.997555
23,-0.990786,0.010355,17.831385,0.69026,0.997681
24,-0.986853,0.023408,18.869522,0.920061,0.997808
25,-0.982578,0.021384,19.77953,0.984992,0.997936
26,-0.981645,0.027634,20.847569,0.977547,0.998064
27,-0.984644,0.025243,22.424717,0.947047,0.998192
28,-0.986614,0.022034,23.535536,1.085303,0.998319
29,-0.993592,0.014475,24.822153,1.022895,0.998445
30,-0.997521,0.006968,24.347345,1.01891,0.998569
31,-0.998411,0.004822,25.374823,1.135122,0.998691
32,-0.998546,0.005668,26.545895,1.084839,0.99881
33,-0.998401,0.010063,27.081537,1.04795,0.998925
34,-0.998619,0.004213,27.731462,0.963802,0.999037
35,-0.99846,0.005383,28.114273,0.979471,0.999144
36,-0.998619,0.005042,28.863688,0.929123,0.999247
37,-0.998792,0.004814,29.443316,0.963277,0.999345
38,-0.998491,0.00754,30.111828,0.659364,0.999437
39,-0.999392,0.002932,30.503027,0.645787,0.999523
40,-0.999292,0.003353,30.739384,0.978565,0.999603
41,-0.999238,0.004005,34.941898,1.899769,0.999676
