epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.715835,0.079187,2.436679,0.630492,0.996
2,-0.768905,0.064044,2.821092,0.203035,0.996001
3,-0.806336,0.056919,3.234416,0.247625,0.996004
4,-0.818784,0.04573,3.542184,0.394445,0.996009
5,-0.837514,0.050089,3.48019,0.393829,0.996016
6,-0.846365,0.042626,3.689395,0.44669,0.996025
7,-0.840454,0.044551,3.913499,0.352832,0.996036
8,-0.845459,0.045861,3.85145,0.365577,0.996049
9,-0.861917,0.048348,3.549684,0.358386,0.996064
10,-0.858764,0.046802,3.971488,0.400805,0.996081
11,-0.864978,0.051579,5.353087,0.479512,0.9961
12,-0.862851,0.046802,4.246038,0.379954,0.996121
13,-0.856353,0.052758,4.353082,0.241018,0.996143
14,-0.85822,0.050478,4.423699,0.241257,0.996168
15,-0.868232,0.050925,4.741459,0.352149,0.996194
16,-0.874884,0.046856,4.972381,0.371337,0.996222
17,-0.879758,0.046139,4.890546,0.326205,0.996252
18,-0.882055,0.045345,5.468523,0.423832,0.996284
19,-0.874899,0.046938,5.776019,0.380238,0.996317
20,-0.860552,0.052057,6.191138,0.47044,0.996353
21,-0.8524,0.056178,6.835462,0.46048,0.996389
22,-0.842564,0.052801,7.419072,0.525171,0.996428
23,-0.827225,0.055087,7.995912,0.539264,0.996468
24,-0.815225,0.055836,8.653649,0.623374,0.996509
25,-0.810095,0.063726,9.653433,0.71254,0.996553
26,-0.813221,0.054936,10.538404,0.656706,0.996597
27,-0.819694,0.057589,11.253338,0.547762,0.996643
28,-0.826344,0.053771,11.428502,0.544859,0.99669
29,-0.846343,0.057111,12.042812,0.530272,0.996739
30,-0.852862,0.05115,12.566623,0.558276,0.996789
31,-0.86659,0.052332,13.112999,0.574286,0.99684
32,-0.870566,0.048116,13.39095,0.510276,0.996892
33,-0.878755,0.048532,13.99507,0.501235,0.996946
34,-0.879251,0.05235,14.657925,0.553954,0.997
35,-0.877205,0.047639,15.033854,0.536484,0.997055
