Epoch 1 | Loss -0.7158 ± 0.0792 | Feature Std 2.4367 ± 0.6305 | Momentum 0.9960
Epoch 2 | Loss -0.7689 ± 0.0640 | Feature Std 2.8211 ± 0.2030 | Momentum 0.9960
Epoch 3 | Loss -0.8063 ± 0.0569 | Feature Std 3.2344 ± 0.2476 | Momentum 0.9960
Epoch 4 | Loss -0.8188 ± 0.0457 | Feature Std 3.5422 ± 0.3944 | Momentum 0.9960
Epoch 5 | Loss -0.8375 ± 0.0501 | Feature Std 3.4802 ± 0.3938 | Momentum 0.9960
Epoch 6 | Loss -0.8464 ± 0.0426 | Feature Std 3.6894 ± 0.4467 | Momentum 0.9960
Epoch 7 | Loss -0.8405 ± 0.0446 | Feature Std 3.9135 ± 0.3528 | Momentum 0.9960
Epoch 8 | Loss -0.8455 ± 0.0459 | Feature Std 3.8514 ± 0.3656 | Momentum 0.9960
Epoch 9 | Loss -0.8619 ± 0.0483 | Feature Std 3.5497 ± 0.3584 | Momentum 0.9961
Epoch 10 | Loss -0.8588 ± 0.0468 | Feature Std 3.9715 ± 0.4008 | Momentum 0.9961
Epoch 11 | Loss -0.8650 ± 0.0516 | Feature Std 5.3531 ± 0.4795 | Momentum 0.9961
Epoch 12 | Loss -0.8629 ± 0.0468 | Feature Std 4.2460 ± 0.3800 | Momentum 0.9961
Epoch 13 | Loss -0.8564 ± 0.0528 | Feature Std 4.3531 ± 0.2410 | Momentum 0.9961
Epoch 14 | Loss -0.8582 ± 0.0505 | Feature Std 4.4237 ± 0.2413 | Momentum 0.9962
Epoch 15 | Loss -0.8682 ± 0.0509 | Feature Std 4.7415 ± 0.3521 | Momentum 0.9962
Epoch 16 | Loss -0.8749 ± 0.0469 | Feature Std 4.9724 ± 0.3713 | Momentum 0.9962
Epoch 17 | Loss -0.8798 ± 0.0461 | Feature Std 4.8905 ± 0.3262 | Momentum 0.9963
Epoch 18 | Loss -0.8821 ± 0.0453 | Feature Std 5.4685 ± 0.4238 | Momentum 0.9963
Epoch 19 | Loss -0.8749 ± 0.0469 | Feature Std 5.7760 ± 0.3802 | Momentum 0.9963
Epoch 20 | Loss -0.8606 ± 0.0521 | Feature Std 6.1911 ± 0.4704 | Momentum 0.9964
Epoch 21 | Loss -0.8524 ± 0.0562 | Feature Std 6.8355 ± 0.4605 | Momentum 0.9964
Epoch 22 | Loss -0.8426 ± 0.0528 | Feature Std 7.4191 ± 0.5252 | Momentum 0.9964
Epoch 23 | Loss -0.8272 ± 0.0551 | Feature Std 7.9959 ± 0.5393 | Momentum 0.9965
