epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.656645,0.091478,2.267393,0.532452,0.996
2,-0.743202,0.072612,2.957197,0.303655,0.996004
3,-0.770662,0.070194,3.075509,0.26632,0.996016
4,-0.804087,0.058012,3.513755,0.274618,0.996037
5,-0.804715,0.054955,3.688001,0.156308,0.996065
6,-0.799057,0.062693,3.855647,0.179859,0.996102
7,-0.795949,0.061513,4.353079,0.182113,0.996146
8,-0.80093,0.067027,4.324163,0.142908,0.996198
9,-0.810736,0.064278,4.450737,0.17748,0.996257
10,-0.814434,0.058934,4.644807,0.172648,0.996324
11,-0.819788,0.059047,5.106545,0.278883,0.996397
12,-0.812881,0.063041,5.64126,0.177512,0.996477
13,-0.80649,0.064057,5.854438,0.137475,0.996563
14,-0.811355,0.061164,5.968388,0.275914,0.996655
15,-0.811529,0.059219,6.364688,0.241586,0.996753
16,-0.816734,0.061767,6.952974,0.339041,0.996856
17,-0.810136,0.060542,7.287653,0.246962,0.996963
18,-0.810782,0.05887,7.591832,0.24159,0.997075
19,-0.82864,0.061547,8.107844,0.313092,0.99719
20,-0.812841,0.066596,8.558755,0.347093,0.997309
21,-0.821828,0.064422,9.135574,0.316598,0.997431
22,-0.828167,0.058708,9.52868,0.34523,0.997555
23,-0.832084,0.062349,10.163617,0.332335,0.997681
24,-0.826706,0.062849,10.70794,0.343847,0.997808
25,-0.828272,0.064014,11.244704,0.38237,0.997936
26,-0.840287,0.06467,11.875909,0.383834,0.998064
27,-0.83822,0.071613,12.449924,0.611169,0.998192
28,-0.849668,0.05993,13.074495,0.527333,0.998319
29,-0.853052,0.056949,13.60997,0.410935,0.998445
30,-0.855975,0.066192,13.822114,0.526394,0.998569
31,-0.864047,0.061786,14.319372,0.443305,0.998691
32,-0.863738,0.062963,14.717166,0.527695,0.99881
33,-0.868777,0.062655,15.266902,0.42043,0.998925
34,-0.873576,0.061803,15.630134,0.535885,0.999037
35,-0.878202,0.059392,16.294884,0.484922,0.999144
36,-0.884643,0.063077,16.692766,0.417208,0.999247
37,-0.884174,0.058783,16.942177,0.489338,0.999345
38,-0.885984,0.056294,17.184872,0.501706,0.999437
39,-0.886104,0.057598,17.728645,0.52379,0.999523
40,-0.890688,0.060513,18.015268,0.486129,0.999603
41,-0.886027,0.05779,18.23526,0.542515,0.999676
42,-0.891954,0.055262,18.456841,0.502548,0.999743
43,-0.891033,0.052826,18.92724,0.514125,0.999802
44,-0.895053,0.05181,19.272621,0.552202,0.999854
45,-0.897988,0.054181,19.550924,0.512614,0.999898
46,-0.892418,0.055552,19.924873,0.533188,0.999935
47,-0.888546,0.05488,20.164083,0.475126,0.999963
48,-0.888573,0.059216,20.484665,0.539334,0.999984
49,-0.897968,0.050081,21.054131,0.523451,0.999996
50,-0.891368,0.057013,21.079802,0.493329,1.0
