epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.653389,0.109001,2.029137,0.481642,0.996
2,-0.77993,0.050349,2.59164,0.116364,0.996004
3,-0.772519,0.052119,2.984222,0.147309,0.996016
4,-0.751217,0.06491,3.47716,0.19759,0.996037
5,-0.734297,0.065844,3.67188,0.130675,0.996065
6,-0.728235,0.066395,3.942376,0.23521,0.996102
7,-0.728837,0.068458,4.317604,0.157818,0.996146
8,-0.713508,0.077283,4.776924,0.252116,0.996198
9,-0.706856,0.073747,5.177036,0.189841,0.996257
10,-0.710135,0.071986,5.481665,0.281778,0.996324
11,-0.690639,0.070794,6.113298,0.29925,0.996397
12,-0.673614,0.08247,6.663881,0.18213,0.996477
13,-0.6615,0.090482,7.158877,0.257004,0.996563
14,-0.656168,0.087805,7.75724,0.269103,0.996655
15,-0.647823,0.094232,8.507662,0.310488,0.996753
16,-0.64846,0.093804,8.853459,0.243864,0.996856
17,-0.659112,0.092905,9.300589,0.259512,0.996963
18,-0.674829,0.092584,10.087629,0.29246,0.997075
19,-0.65099,0.100553,10.452733,0.289604,0.99719
20,-0.639135,0.091846,10.881413,0.298192,0.997309
21,-0.639943,0.098834,11.336761,0.179163,0.997431
22,-0.640297,0.099525,11.876297,0.374144,0.997555
23,-0.646435,0.095835,12.219797,0.2346,0.997681
24,-0.653779,0.102224,12.731173,0.197986,0.997808
25,-0.650539,0.103398,13.045652,0.232536,0.997936
26,-0.637118,0.100503,13.241422,0.270894,0.998064
27,-0.644113,0.099432,13.75561,0.301287,0.998192
28,-0.645222,0.095165,13.946682,0.266037,0.998319
29,-0.648908,0.108585,14.603018,0.206199,0.998445
30,-0.654914,0.104558,15.122972,0.319327,0.998569
31,-0.650629,0.110019,15.790285,0.228148,0.998691
32,-0.646765,0.107643,15.837233,0.429191,0.99881
33,-0.645106,0.091135,16.359505,0.217349,0.998925
34,-0.637373,0.101405,16.591894,0.20135,0.999037
35,-0.652797,0.106272,16.863726,0.219207,0.999144
36,-0.664039,0.103092,17.360628,0.246131,0.999247
37,-0.648443,0.100882,17.755512,0.252136,0.999345
38,-0.654833,0.10636,18.163748,0.268949,0.999437
39,-0.639093,0.094949,18.299788,0.225782,0.999523
40,-0.649419,0.098163,18.928295,0.267433,0.999603
41,-0.65475,0.110584,19.121527,0.266543,0.999676
42,-0.65208,0.111676,19.456871,0.262896,0.999743
43,-0.634175,0.106176,19.569506,0.357464,0.999802
44,-0.640496,0.10794,20.035284,0.28441,0.999854
45,-0.652541,0.103882,20.41213,0.268934,0.999898
46,-0.646728,0.101339,20.734997,0.250822,0.999935
47,-0.65542,0.098114,21.304789,0.369134,0.999963
48,-0.648525,0.097331,21.542959,0.321414,0.999984
49,-0.648482,0.108178,21.533541,0.302396,0.999996
50,-0.644497,0.099593,21.998535,0.327226,1.0
