epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.624705,0.066313,1.884275,0.369539,0.996
2,-0.765622,0.052197,2.299212,0.301991,0.996004
3,-0.793054,0.050577,2.7868,0.18489,0.996016
4,-0.799875,0.048824,3.070601,0.237828,0.996037
5,-0.796109,0.049702,3.354571,0.208453,0.996065
6,-0.797062,0.057641,3.78958,0.195548,0.996102
7,-0.783353,0.058279,4.013252,0.153514,0.996146
8,-0.782897,0.059275,4.39604,0.244488,0.996198
9,-0.77622,0.068357,4.788309,0.18427,0.996257
10,-0.781677,0.062893,5.186628,0.206366,0.996324
11,-0.786339,0.068126,5.506261,0.22754,0.996397
12,-0.798645,0.064664,5.911366,0.170971,0.996477
13,-0.810414,0.062785,6.184889,0.227169,0.996563
14,-0.824732,0.05954,6.608696,0.124528,0.996655
15,-0.814849,0.057389,6.660315,0.251627,0.996753
16,-0.827384,0.056359,6.972586,0.184222,0.996856
17,-0.833711,0.05746,7.4088,0.200373,0.996963
18,-0.837924,0.059434,7.673296,0.277711,0.997075
19,-0.832497,0.062259,8.049147,0.23415,0.99719
20,-0.839163,0.063629,8.552929,0.252519,0.997309
21,-0.829918,0.060918,8.958077,0.304381,0.997431
22,-0.838597,0.063206,9.20747,0.231509,0.997555
23,-0.83538,0.067051,9.755316,0.176918,0.997681
24,-0.835893,0.062539,9.955931,0.244357,0.997808
25,-0.831876,0.068877,10.582987,0.205574,0.997936
26,-0.829508,0.063568,10.885586,0.29231,0.998064
27,-0.834954,0.063075,11.162494,0.275272,0.998192
28,-0.832198,0.061453,11.707767,0.295096,0.998319
29,-0.829569,0.067061,12.113743,0.281258,0.998445
30,-0.832123,0.065158,12.504952,0.211831,0.998569
31,-0.831626,0.06581,12.756912,0.291177,0.998691
32,-0.838395,0.071961,13.191669,0.2379,0.99881
33,-0.830248,0.072277,13.28884,0.286662,0.998925
34,-0.832987,0.071889,13.826225,0.179436,0.999037
35,-0.824291,0.069128,13.893287,0.239249,0.999144
36,-0.829402,0.072709,14.553404,0.371574,0.999247
37,-0.828801,0.07051,15.078502,0.354832,0.999345
38,-0.838229,0.072074,15.311007,0.303479,0.999437
39,-0.823894,0.068722,15.457909,0.308366,0.999523
40,-0.840215,0.069253,16.042965,0.334445,0.999603
41,-0.833123,0.068944,16.278553,0.263557,0.999676
42,-0.834439,0.067866,16.411974,0.329843,0.999743
43,-0.836382,0.075455,16.889305,0.298898,0.999802
44,-0.838144,0.070006,17.12463,0.334899,0.999854
45,-0.829939,0.067125,17.125147,0.246586,0.999898
46,-0.829478,0.068344,17.665625,0.293113,0.999935
47,-0.830444,0.067956,18.000566,0.411834,0.999963
48,-0.830465,0.067446,18.260191,0.252251,0.999984
49,-0.834618,0.068455,18.548994,0.350593,0.999996
50,-0.833362,0.066269,18.971493,0.327545,1.0
