epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.626529,0.094993,2.46328,0.660025,0.996
2,-0.747385,0.069661,3.339665,0.200691,0.996004
3,-0.794908,0.056773,3.377556,0.274506,0.996016
4,-0.785326,0.057027,3.420134,0.235666,0.996037
5,-0.741286,0.068704,3.889909,0.237879,0.996065
6,-0.697883,0.075383,4.258986,0.221466,0.996102
7,-0.672046,0.076181,4.684594,0.174437,0.996146
8,-0.615145,0.087467,5.340734,0.216815,0.996198
9,-0.561553,0.103041,6.131924,0.260888,0.996257
10,-0.54956,0.107169,6.999768,0.260717,0.996324
11,-0.54682,0.122782,7.852378,0.319151,0.996397
12,-0.552019,0.123873,8.665484,0.220341,0.996477
13,-0.538452,0.131244,9.326455,0.289296,0.996563
14,-0.546783,0.129088,9.901848,0.246472,0.996655
15,-0.55555,0.116086,10.29623,0.185449,0.996753
16,-0.56196,0.12954,10.919792,0.261166,0.996856
17,-0.557964,0.127171,11.408893,0.236112,0.996963
18,-0.564068,0.130759,11.78527,0.178994,0.997075
19,-0.553143,0.119997,12.296877,0.17624,0.99719
20,-0.569404,0.131987,12.685278,0.163019,0.997309
21,-0.566077,0.132311,13.074627,0.160869,0.997431
22,-0.573621,0.1298,13.641249,0.214001,0.997555
23,-0.562271,0.131656,13.840927,0.160191,0.997681
24,-0.582906,0.118964,13.96171,0.224441,0.997808
25,-0.587737,0.119596,14.040545,0.245103,0.997936
26,-0.593511,0.118563,14.531793,0.228952,0.998064
27,-0.60532,0.112419,14.843494,0.232884,0.998192
28,-0.605478,0.109861,15.126307,0.182641,0.998319
29,-0.608612,0.115442,15.287657,0.225333,0.998445
30,-0.614256,0.10182,15.345283,0.211417,0.998569
31,-0.621933,0.10052,15.679158,0.249746,0.998691
32,-0.634464,0.104451,15.840766,0.255492,0.99881
33,-0.634761,0.100034,16.028681,0.227678,0.998925
34,-0.637901,0.099292,16.369627,0.281402,0.999037
35,-0.643443,0.098994,16.69841,0.251901,0.999144
36,-0.654574,0.099082,16.910065,0.272902,0.999247
37,-0.633613,0.106118,16.905264,0.365817,0.999345
38,-0.650252,0.101929,17.500114,0.365309,0.999437
39,-0.643106,0.101448,17.887716,0.267127,0.999523
40,-0.649445,0.093913,17.85008,0.307607,0.999603
41,-0.657503,0.092335,18.300714,0.277995,0.999676
42,-0.656736,0.092634,18.55669,0.326932,0.999743
43,-0.65939,0.084055,18.761499,0.394069,0.999802
44,-0.650007,0.09659,19.143984,0.284685,0.999854
45,-0.659799,0.0899,19.371813,0.363963,0.999898
46,-0.653089,0.095488,19.497772,0.333823,0.999935
47,-0.654715,0.094698,19.83647,0.351627,0.999963
48,-0.654911,0.093353,20.061625,0.415725,0.999984
49,-0.648641,0.096826,20.302225,0.444063,0.999996
50,-0.665677,0.091246,20.617893,0.358256,1.0
