epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.69534,0.075169,2.062578,0.393009,0.996
2,-0.799318,0.063166,2.512902,0.17549,0.996004
3,-0.84497,0.05544,3.191091,0.431913,0.996016
4,-0.856707,0.052148,3.826383,0.258209,0.996037
5,-0.86015,0.055977,4.206968,0.292864,0.996065
6,-0.876416,0.055299,4.739355,0.272647,0.996102
7,-0.884008,0.054883,5.146737,0.288757,0.996146
8,-0.89498,0.056104,5.579149,0.445065,0.996198
9,-0.89069,0.052234,5.587582,0.458955,0.996257
10,-0.904087,0.045688,5.211581,0.476555,0.996324
11,-0.907696,0.045849,5.790782,0.475218,0.996397
12,-0.890645,0.049266,6.063625,0.487588,0.996477
13,-0.887743,0.054992,6.537685,0.595177,0.996563
14,-0.882769,0.058259,7.035357,0.549485,0.996655
15,-0.879571,0.051683,6.937625,0.511419,0.996753
16,-0.885258,0.047612,6.996428,0.663992,0.996856
17,-0.8829,0.050969,7.295397,0.5562,0.996963
18,-0.885204,0.049421,7.516585,0.709617,0.997075
19,-0.871979,0.053941,7.591489,0.638243,0.99719
20,-0.87325,0.056396,8.054966,0.767679,0.997309
21,-0.849369,0.061526,9.269552,0.684323,0.997431
22,-0.844598,0.074481,9.773127,0.801543,0.997555
23,-0.853495,0.064064,9.811926,0.605484,0.997681
24,-0.862599,0.063774,10.376375,0.794461,0.997808
25,-0.857033,0.064697,10.759371,0.828163,0.997936
26,-0.852165,0.064454,11.308688,0.838586,0.998064
27,-0.85391,0.064741,11.252404,0.793984,0.998192
28,-0.849249,0.066094,12.391867,0.873169,0.998319
29,-0.853842,0.069055,12.819987,0.738394,0.998445
30,-0.868324,0.061053,12.828371,0.907003,0.998569
31,-0.871466,0.057093,12.250197,0.89141,0.998691
32,-0.877175,0.056803,12.456728,0.816911,0.99881
33,-0.878514,0.053624,12.259226,0.983465,0.998925
34,-0.884609,0.051151,13.234918,0.966113,0.999037
35,-0.874739,0.06035,13.500053,0.924429,0.999144
36,-0.868605,0.057411,14.030962,0.996939,0.999247
37,-0.875316,0.058635,14.507245,0.916926,0.999345
38,-0.86942,0.061018,14.310189,0.982764,0.999437
39,-0.871221,0.061458,14.740086,1.029333,0.999523
40,-0.867726,0.063225,15.07617,0.960921,0.999603
41,-0.861728,0.058691,15.263008,0.972164,0.999676
42,-0.87276,0.056414,15.902491,1.141003,0.999743
43,-0.864289,0.062501,16.272215,1.009964,0.999802
44,-0.866606,0.058264,16.322256,1.073295,0.999854
45,-0.86104,0.062821,16.128635,1.137351,0.999898
46,-0.869319,0.06829,16.471672,0.889417,0.999935
47,-0.86669,0.063804,17.133661,0.945628,0.999963
48,-0.859674,0.059798,17.258766,1.268553,0.999984
49,-0.865937,0.064294,17.900644,1.125043,0.999996
50,-0.869937,0.058752,18.531265,1.054783,1.0
