epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.665186,0.095725,2.06391,0.492691,0.996
2,-0.769121,0.072381,2.630782,0.191579,0.996001
3,-0.762734,0.067369,2.771116,0.154433,0.996004
4,-0.772726,0.076601,3.098845,0.192268,0.996009
5,-0.781551,0.062636,3.313069,0.148952,0.996016
6,-0.805079,0.068044,3.571707,0.130908,0.996025
7,-0.820432,0.058953,3.791463,0.150224,0.996036
8,-0.813257,0.065891,3.953152,0.166361,0.996049
9,-0.812562,0.066934,4.478565,0.172976,0.996064
10,-0.8162,0.070122,4.655656,0.148143,0.996081
11,-0.808617,0.061711,4.98898,0.147575,0.9961
12,-0.805041,0.061533,5.121768,0.137193,0.996121
13,-0.805644,0.060525,5.10504,0.13916,0.996143
14,-0.81573,0.056602,5.290953,0.186326,0.996168
15,-0.814104,0.060262,5.489968,0.145256,0.996194
16,-0.808456,0.058436,5.617676,0.220799,0.996222
17,-0.822574,0.059792,6.094321,0.232456,0.996252
18,-0.809402,0.062903,6.34672,0.206569,0.996284
19,-0.814087,0.064519,6.83209,0.255329,0.996317
20,-0.805056,0.064278,7.14665,0.343589,0.996353
21,-0.79999,0.06487,7.271663,0.217206,0.996389
22,-0.817253,0.061709,7.724108,0.250854,0.996428
23,-0.816229,0.06427,7.88751,0.27214,0.996468
24,-0.816979,0.057575,8.012089,0.28324,0.996509
25,-0.820518,0.060858,8.488724,0.304945,0.996553
26,-0.819475,0.062199,9.153177,0.29739,0.996597
27,-0.813079,0.059419,9.436915,0.312956,0.996643
28,-0.818914,0.062197,9.729447,0.300149,0.99669
29,-0.820119,0.059783,10.239974,0.306028,0.996739
30,-0.81741,0.05947,10.58562,0.319866,0.996789
31,-0.826508,0.055781,10.995017,0.277919,0.99684
32,-0.841391,0.053677,11.311923,0.307963,0.996892
33,-0.849042,0.051166,11.8064,0.34217,0.996946
34,-0.865442,0.045561,12.293339,0.323902,0.997
35,-0.875607,0.05005,12.808398,0.31007,0.997055
36,-0.8696,0.053243,13.270298,0.315793,0.997112
37,-0.876856,0.048156,13.51798,0.354375,0.997169
38,-0.88584,0.045466,14.110747,0.31171,0.997227
39,-0.882294,0.049942,14.341678,0.320215,0.997286
40,-0.888148,0.048055,14.549316,0.305077,0.997346
41,-0.894049,0.047672,14.784497,0.305793,0.997406
42,-0.890462,0.045099,15.212988,0.310828,0.997467
43,-0.890812,0.050912,15.445004,0.342273,0.997528
44,-0.898603,0.046982,15.694278,0.368399,0.99759
45,-0.911063,0.03956,16.144781,0.362933,0.997653
46,-0.902236,0.050881,16.289709,0.320921,0.997715
47,-0.911562,0.04215,16.808056,0.279172,0.997778
48,-0.910248,0.041592,17.197737,0.30333,0.997842
49,-0.911864,0.041887,17.667656,0.300294,0.997905
50,-0.912253,0.049896,18.007986,0.267764,0.997968
51,-0.912064,0.045813,18.183443,0.247757,0.998032
52,-0.915993,0.0464,18.465914,0.291803,0.998095
53,-0.918689,0.044007,19.011906,0.310027,0.998158
54,-0.918635,0.046267,19.201611,0.278556,0.998222
55,-0.913956,0.053907,19.32682,0.314584,0.998285
56,-0.915754,0.045894,19.724501,0.415799,0.998347
57,-0.917692,0.052499,19.94178,0.291286,0.99841
58,-0.916781,0.050949,20.205051,0.362435,0.998472
59,-0.913344,0.046597,20.549345,0.300053,0.998533
60,-0.917652,0.045002,20.589977,0.30473,0.998594
61,-0.927449,0.039644,20.748718,0.370059,0.998654
62,-0.923172,0.0398,21.12611,0.399133,0.998714
63,-0.924226,0.045477,21.407181,0.36148,0.998773
64,-0.929907,0.042607,21.674849,0.355102,0.998831
65,-0.921797,0.04566,21.780527,0.347959,0.998888
66,-0.927683,0.045356,22.072979,0.343272,0.998945
67,-0.931949,0.039215,22.269753,0.307294,0.999
68,-0.92336,0.047594,22.416328,0.331456,0.999054
69,-0.93284,0.03929,22.679903,0.355257,0.999108
70,-0.926843,0.047454,22.843586,0.307561,0.99916
71,-0.935606,0.036409,23.040386,0.397574,0.999211
72,-0.929225,0.041828,23.175983,0.406749,0.999261
73,-0.931838,0.044427,23.374405,0.405594,0.99931
74,-0.932826,0.037967,23.642754,0.397519,0.999357
75,-0.937559,0.037999,23.863211,0.347322,0.999403
76,-0.929551,0.040617,24.111645,0.428675,0.999447
77,-0.934626,0.03912,24.255014,0.396619,0.999491
78,-0.93623,0.03965,24.593569,0.360887,0.999532
79,-0.934152,0.041908,24.814758,0.41094,0.999572
80,-0.936064,0.040818,24.950319,0.388975,0.999611
81,-0.939928,0.037766,25.056795,0.391197,0.999647
82,-0.941082,0.037862,25.30024,0.443543,0.999683
83,-0.942601,0.031767,25.486082,0.398032,0.999716
84,-0.936707,0.039629,25.67927,0.43216,0.999748
85,-0.939622,0.039064,25.859001,0.472031,0.999778
86,-0.941341,0.04056,26.032808,0.427423,0.999806
87,-0.937295,0.038134,26.299936,0.3751,0.999832
88,-0.939935,0.036168,26.58996,0.395196,0.999857
89,-0.936378,0.036949,26.699142,0.427648,0.999879
90,-0.938212,0.037974,26.826487,0.374984,0.9999
91,-0.938777,0.038188,26.946064,0.410485,0.999919
92,-0.933976,0.03803,27.235136,0.449504,0.999936
93,-0.94008,0.036839,27.400114,0.435255,0.999951
94,-0.93946,0.044473,27.588133,0.428958,0.999964
95,-0.941588,0.033487,27.92168,0.40233,0.999975
96,-0.939701,0.03667,27.964453,0.440637,0.999984
97,-0.936887,0.044549,28.437466,0.377284,0.999991
98,-0.944597,0.034319,28.557676,0.414341,0.999996
99,-0.939488,0.037909,28.867573,0.391867,0.999999
100,-0.936168,0.040899,28.954939,0.416752,1.0
