Epoch 1 | Loss -0.6652 ± 0.0957 | Feature Std 2.0639 ± 0.4927 | Momentum 0.9960
Epoch 2 | Loss -0.7691 ± 0.0724 | Feature Std 2.6308 ± 0.1916 | Momentum 0.9960
Epoch 3 | Loss -0.7627 ± 0.0674 | Feature Std 2.7711 ± 0.1544 | Momentum 0.9960
Epoch 4 | Loss -0.7727 ± 0.0766 | Feature Std 3.0988 ± 0.1923 | Momentum 0.9960
Epoch 5 | Loss -0.7816 ± 0.0626 | Feature Std 3.3131 ± 0.1490 | Momentum 0.9960
Epoch 6 | Loss -0.8051 ± 0.0680 | Feature Std 3.5717 ± 0.1309 | Momentum 0.9960
Epoch 7 | Loss -0.8204 ± 0.0590 | Feature Std 3.7915 ± 0.1502 | Momentum 0.9960
Epoch 8 | Loss -0.8133 ± 0.0659 | Feature Std 3.9532 ± 0.1664 | Momentum 0.9960
Epoch 9 | Loss -0.8126 ± 0.0669 | Feature Std 4.4786 ± 0.1730 | Momentum 0.9961
Epoch 10 | Loss -0.8162 ± 0.0701 | Feature Std 4.6557 ± 0.1481 | Momentum 0.9961
Epoch 11 | Loss -0.8086 ± 0.0617 | Feature Std 4.9890 ± 0.1476 | Momentum 0.9961
Epoch 12 | Loss -0.8050 ± 0.0615 | Feature Std 5.1218 ± 0.1372 | Momentum 0.9961
Epoch 13 | Loss -0.8056 ± 0.0605 | Feature Std 5.1050 ± 0.1392 | Momentum 0.9961
Epoch 14 | Loss -0.8157 ± 0.0566 | Feature Std 5.2910 ± 0.1863 | Momentum 0.9962
Epoch 15 | Loss -0.8141 ± 0.0603 | Feature Std 5.4900 ± 0.1453 | Momentum 0.9962
Epoch 16 | Loss -0.8085 ± 0.0584 | Feature Std 5.6177 ± 0.2208 | Momentum 0.9962
Epoch 17 | Loss -0.8226 ± 0.0598 | Feature Std 6.0943 ± 0.2325 | Momentum 0.9963
Epoch 18 | Loss -0.8094 ± 0.0629 | Feature Std 6.3467 ± 0.2066 | Momentum 0.9963
Epoch 19 | Loss -0.8141 ± 0.0645 | Feature Std 6.8321 ± 0.2553 | Momentum 0.9963
Epoch 20 | Loss -0.8051 ± 0.0643 | Feature Std 7.1466 ± 0.3436 | Momentum 0.9964
Epoch 21 | Loss -0.8000 ± 0.0649 | Feature Std 7.2717 ± 0.2172 | Momentum 0.9964
Epoch 22 | Loss -0.8173 ± 0.0617 | Feature Std 7.7241 ± 0.2509 | Momentum 0.9964
Epoch 23 | Loss -0.8162 ± 0.0643 | Feature Std 7.8875 ± 0.2721 | Momentum 0.9965
Epoch 24 | Loss -0.8170 ± 0.0576 | Feature Std 8.0121 ± 0.2832 | Momentum 0.9965
Epoch 25 | Loss -0.8205 ± 0.0609 | Feature Std 8.4887 ± 0.3049 | Momentum 0.9966
Epoch 26 | Loss -0.8195 ± 0.0622 | Feature Std 9.1532 ± 0.2974 | Momentum 0.9966
Epoch 27 | Loss -0.8131 ± 0.0594 | Feature Std 9.4369 ± 0.3130 | Momentum 0.9966
Epoch 28 | Loss -0.8189 ± 0.0622 | Feature Std 9.7294 ± 0.3001 | Momentum 0.9967
Epoch 29 | Loss -0.8201 ± 0.0598 | Feature Std 10.2400 ± 0.3060 | Momentum 0.9967
Epoch 30 | Loss -0.8174 ± 0.0595 | Feature Std 10.5856 ± 0.3199 | Momentum 0.9968
Epoch 31 | Loss -0.8265 ± 0.0558 | Feature Std 10.9950 ± 0.2779 | Momentum 0.9968
Epoch 32 | Loss -0.8414 ± 0.0537 | Feature Std 11.3119 ± 0.3080 | Momentum 0.9969
Epoch 33 | Loss -0.8490 ± 0.0512 | Feature Std 11.8064 ± 0.3422 | Momentum 0.9969
Epoch 34 | Loss -0.8654 ± 0.0456 | Feature Std 12.2933 ± 0.3239 | Momentum 0.9970
Epoch 35 | Loss -0.8756 ± 0.0500 | Feature Std 12.8084 ± 0.3101 | Momentum 0.9971
Epoch 36 | Loss -0.8696 ± 0.0532 | Feature Std 13.2703 ± 0.3158 | Momentum 0.9971
Epoch 37 | Loss -0.8769 ± 0.0482 | Feature Std 13.5180 ± 0.3544 | Momentum 0.9972
Epoch 38 | Loss -0.8858 ± 0.0455 | Feature Std 14.1107 ± 0.3117 | Momentum 0.9972
Epoch 39 | Loss -0.8823 ± 0.0499 | Feature Std 14.3417 ± 0.3202 | Momentum 0.9973
Epoch 40 | Loss -0.8881 ± 0.0481 | Feature Std 14.5493 ± 0.3051 | Momentum 0.9973
Epoch 41 | Loss -0.8940 ± 0.0477 | Feature Std 14.7845 ± 0.3058 | Momentum 0.9974
Epoch 42 | Loss -0.8905 ± 0.0451 | Feature Std 15.2130 ± 0.3108 | Momentum 0.9975
Epoch 43 | Loss -0.8908 ± 0.0509 | Feature Std 15.4450 ± 0.3423 | Momentum 0.9975
Epoch 44 | Loss -0.8986 ± 0.0470 | Feature Std 15.6943 ± 0.3684 | Momentum 0.9976
Epoch 45 | Loss -0.9111 ± 0.0396 | Feature Std 16.1448 ± 0.3629 | Momentum 0.9977
Epoch 46 | Loss -0.9022 ± 0.0509 | Feature Std 16.2897 ± 0.3209 | Momentum 0.9977
Epoch 47 | Loss -0.9116 ± 0.0421 | Feature Std 16.8081 ± 0.2792 | Momentum 0.9978
Epoch 48 | Loss -0.9102 ± 0.0416 | Feature Std 17.1977 ± 0.3033 | Momentum 0.9978
Epoch 49 | Loss -0.9119 ± 0.0419 | Feature Std 17.6677 ± 0.3003 | Momentum 0.9979
Epoch 50 | Loss -0.9123 ± 0.0499 | Feature Std 18.0080 ± 0.2678 | Momentum 0.9980
Epoch 51 | Loss -0.9121 ± 0.0458 | Feature Std 18.1834 ± 0.2478 | Momentum 0.9980
Epoch 52 | Loss -0.9160 ± 0.0464 | Feature Std 18.4659 ± 0.2918 | Momentum 0.9981
Epoch 53 | Loss -0.9187 ± 0.0440 | Feature Std 19.0119 ± 0.3100 | Momentum 0.9982
Epoch 54 | Loss -0.9186 ± 0.0463 | Feature Std 19.2016 ± 0.2786 | Momentum 0.9982
Epoch 55 | Loss -0.9140 ± 0.0539 | Feature Std 19.3268 ± 0.3146 | Momentum 0.9983
Epoch 56 | Loss -0.9158 ± 0.0459 | Feature Std 19.7245 ± 0.4158 | Momentum 0.9983
Epoch 57 | Loss -0.9177 ± 0.0525 | Feature Std 19.9418 ± 0.2913 | Momentum 0.9984
Epoch 58 | Loss -0.9168 ± 0.0509 | Feature Std 20.2051 ± 0.3624 | Momentum 0.9985
Epoch 59 | Loss -0.9133 ± 0.0466 | Feature Std 20.5493 ± 0.3001 | Momentum 0.9985
Epoch 60 | Loss -0.9177 ± 0.0450 | Feature Std 20.5900 ± 0.3047 | Momentum 0.9986
Epoch 61 | Loss -0.9274 ± 0.0396 | Feature Std 20.7487 ± 0.3701 | Momentum 0.9987
Epoch 62 | Loss -0.9232 ± 0.0398 | Feature Std 21.1261 ± 0.3991 | Momentum 0.9987
Epoch 63 | Loss -0.9242 ± 0.0455 | Feature Std 21.4072 ± 0.3615 | Momentum 0.9988
Epoch 64 | Loss -0.9299 ± 0.0426 | Feature Std 21.6748 ± 0.3551 | Momentum 0.9988
Epoch 65 | Loss -0.9218 ± 0.0457 | Feature Std 21.7805 ± 0.3480 | Momentum 0.9989
Epoch 66 | Loss -0.9277 ± 0.0454 | Feature Std 22.0730 ± 0.3433 | Momentum 0.9989
Epoch 67 | Loss -0.9319 ± 0.0392 | Feature Std 22.2698 ± 0.3073 | Momentum 0.9990
Epoch 68 | Loss -0.9234 ± 0.0476 | Feature Std 22.4163 ± 0.3315 | Momentum 0.9991
Epoch 69 | Loss -0.9328 ± 0.0393 | Feature Std 22.6799 ± 0.3553 | Momentum 0.9991
Epoch 70 | Loss -0.9268 ± 0.0475 | Feature Std 22.8436 ± 0.3076 | Momentum 0.9992
Epoch 71 | Loss -0.9356 ± 0.0364 | Feature Std 23.0404 ± 0.3976 | Momentum 0.9992
Epoch 72 | Loss -0.9292 ± 0.0418 | Feature Std 23.1760 ± 0.4067 | Momentum 0.9993
Epoch 73 | Loss -0.9318 ± 0.0444 | Feature Std 23.3744 ± 0.4056 | Momentum 0.9993
Epoch 74 | Loss -0.9328 ± 0.0380 | Feature Std 23.6428 ± 0.3975 | Momentum 0.9994
Epoch 75 | Loss -0.9376 ± 0.0380 | Feature Std 23.8632 ± 0.3473 | Momentum 0.9994
Epoch 76 | Loss -0.9296 ± 0.0406 | Feature Std 24.1116 ± 0.4287 | Momentum 0.9994
Epoch 77 | Loss -0.9346 ± 0.0391 | Feature Std 24.2550 ± 0.3966 | Momentum 0.9995
Epoch 78 | Loss -0.9362 ± 0.0397 | Feature Std 24.5936 ± 0.3609 | Momentum 0.9995
Epoch 79 | Loss -0.9342 ± 0.0419 | Feature Std 24.8148 ± 0.4109 | Momentum 0.9996
Epoch 80 | Loss -0.9361 ± 0.0408 | Feature Std 24.9503 ± 0.3890 | Momentum 0.9996
Epoch 81 | Loss -0.9399 ± 0.0378 | Feature Std 25.0568 ± 0.3912 | Momentum 0.9996
Epoch 82 | Loss -0.9411 ± 0.0379 | Feature Std 25.3002 ± 0.4435 | Momentum 0.9997
Epoch 83 | Loss -0.9426 ± 0.0318 | Feature Std 25.4861 ± 0.3980 | Momentum 0.9997
Epoch 84 | Loss -0.9367 ± 0.0396 | Feature Std 25.6793 ± 0.4322 | Momentum 0.9997
Epoch 85 | Loss -0.9396 ± 0.0391 | Feature Std 25.8590 ± 0.4720 | Momentum 0.9998
Epoch 86 | Loss -0.9413 ± 0.0406 | Feature Std 26.0328 ± 0.4274 | Momentum 0.9998
Epoch 87 | Loss -0.9373 ± 0.0381 | Feature Std 26.2999 ± 0.3751 | Momentum 0.9998
Epoch 88 | Loss -0.9399 ± 0.0362 | Feature Std 26.5900 ± 0.3952 | Momentum 0.9999
Epoch 89 | Loss -0.9364 ± 0.0369 | Feature Std 26.6991 ± 0.4276 | Momentum 0.9999
Epoch 90 | Loss -0.9382 ± 0.0380 | Feature Std 26.8265 ± 0.3750 | Momentum 0.9999
Epoch 91 | Loss -0.9388 ± 0.0382 | Feature Std 26.9461 ± 0.4105 | Momentum 0.9999
Epoch 92 | Loss -0.9340 ± 0.0380 | Feature Std 27.2351 ± 0.4495 | Momentum 0.9999
Epoch 93 | Loss -0.9401 ± 0.0368 | Feature Std 27.4001 ± 0.4353 | Momentum 1.0000
Epoch 94 | Loss -0.9395 ± 0.0445 | Feature Std 27.5881 ± 0.4290 | Momentum 1.0000
Epoch 95 | Loss -0.9416 ± 0.0335 | Feature Std 27.9217 ± 0.4023 | Momentum 1.0000
