epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.691177,0.087259,2.245245,0.575248,0.996
2,-0.837709,0.050945,3.304066,0.227232,0.996001
3,-0.849156,0.041853,3.281266,0.335873,0.996004
4,-0.833816,0.048721,3.284211,0.296866,0.996009
5,-0.851921,0.05665,3.391864,0.329598,0.996016
6,-0.865887,0.048874,4.269296,0.318275,0.996025
7,-0.873504,0.051022,4.149015,0.348995,0.996036
8,-0.850566,0.050726,4.456176,0.552579,0.996049
9,-0.86461,0.053967,4.779565,0.297466,0.996064
10,-0.88642,0.046287,4.799795,0.386358,0.996081
11,-0.889205,0.043614,4.855825,0.394343,0.9961
12,-0.891057,0.041511,5.313462,0.398527,0.996121
13,-0.891743,0.038331,5.203681,0.571307,0.996143
14,-0.884693,0.040925,5.473721,0.486475,0.996168
15,-0.877654,0.044141,5.661782,0.48454,0.996194
16,-0.872288,0.048594,6.034621,0.470008,0.996222
17,-0.873654,0.045835,6.401112,0.486958,0.996252
18,-0.866296,0.045628,5.725527,0.654867,0.996284
19,-0.845012,0.042893,5.231915,0.572631,0.996317
20,-0.837031,0.043865,6.325389,0.816303,0.996353
21,-0.842216,0.055742,7.870281,0.717528,0.996389
22,-0.836491,0.053733,7.685362,0.659989,0.996428
23,-0.827579,0.056998,6.714261,0.549636,0.996468
24,-0.854769,0.047608,7.371131,0.5629,0.996509
25,-0.854096,0.045673,7.971667,0.476114,0.996553
26,-0.848707,0.053162,8.187377,0.560954,0.996597
27,-0.846835,0.054554,9.214499,0.589185,0.996643
28,-0.851842,0.054194,9.414716,0.512136,0.99669
29,-0.837173,0.054957,9.417035,0.529412,0.996739
30,-0.836806,0.060005,10.261441,0.60239,0.996789
31,-0.840914,0.054769,10.680238,0.655207,0.99684
32,-0.838352,0.061612,10.52159,0.512575,0.996892
33,-0.836807,0.062198,10.932104,0.571078,0.996946
34,-0.838414,0.062581,11.786949,0.638063,0.997
35,-0.84508,0.05918,12.532183,0.605775,0.997055
36,-0.849163,0.056571,13.328051,0.53341,0.997112
37,-0.844177,0.061816,13.52685,0.480265,0.997169
38,-0.841201,0.070853,14.033399,0.564346,0.997227
39,-0.834063,0.071018,14.668326,0.583418,0.997286
40,-0.840104,0.073053,15.385633,0.602567,0.997346
41,-0.848438,0.076667,16.185175,0.848804,0.997406
42,-0.832337,0.076789,16.130587,0.505631,0.997467
43,-0.83956,0.070364,16.962616,0.557801,0.997528
44,-0.83351,0.078853,17.537334,0.708917,0.99759
45,-0.835538,0.072009,17.773932,0.581698,0.997653
46,-0.834633,0.078414,18.266743,0.592129,0.997715
47,-0.838812,0.071804,18.650249,0.52594,0.997778
48,-0.844469,0.073361,19.444227,0.685224,0.997842
49,-0.840855,0.081142,19.134838,0.616968,0.997905
50,-0.848026,0.073947,19.942696,0.595929,0.997968
51,-0.844187,0.073469,19.840843,0.678629,0.998032
52,-0.856731,0.068502,19.91181,0.490427,0.998095
53,-0.854667,0.069408,20.180489,0.541582,0.998158
54,-0.863555,0.067666,20.770727,0.650038,0.998222
55,-0.863318,0.066627,21.128506,0.554619,0.998285
56,-0.850105,0.079356,21.407288,0.575913,0.998347
57,-0.854854,0.067863,22.079765,0.590106,0.99841
58,-0.861882,0.068456,22.185318,0.97487,0.998472
59,-0.860788,0.065529,22.943178,0.69645,0.998533
60,-0.852538,0.077731,23.520578,0.629824,0.998594
61,-0.850546,0.074022,23.257507,0.576054,0.998654
62,-0.864394,0.069816,23.933235,0.593071,0.998714
63,-0.865143,0.072038,24.193419,0.647892,0.998773
64,-0.860515,0.075931,24.665468,0.740012,0.998831
65,-0.86826,0.069428,25.469904,0.616221,0.998888
66,-0.860394,0.073688,25.22867,0.696935,0.998945
67,-0.861392,0.072351,25.48093,0.727961,0.999
68,-0.862097,0.072664,25.789047,0.809404,0.999054
69,-0.856709,0.067483,25.802301,0.831244,0.999108
70,-0.8662,0.070406,26.417971,0.904248,0.99916
71,-0.861232,0.069115,26.459219,0.925506,0.999211
72,-0.872785,0.06897,27.542994,0.767259,0.999261
73,-0.858101,0.074432,27.183165,0.745349,0.99931
74,-0.8616,0.07516,27.578808,0.859635,0.999357
75,-0.854578,0.083176,28.60684,0.860118,0.999403
76,-0.854862,0.0765,28.254248,0.87442,0.999447
77,-0.858488,0.069175,28.824949,1.092207,0.999491
78,-0.859266,0.075466,29.53676,0.829602,0.999532
79,-0.855291,0.078949,29.488026,0.842416,0.999572
80,-0.852165,0.077112,29.594139,1.04015,0.999611
81,-0.854032,0.077145,30.169817,1.024757,0.999647
82,-0.860094,0.08256,30.530506,1.047172,0.999683
83,-0.85576,0.085255,30.975327,0.977734,0.999716
84,-0.855325,0.079126,30.726177,1.070523,0.999748
85,-0.855334,0.088969,31.154787,0.948076,0.999778
86,-0.858777,0.077689,31.1642,0.975413,0.999806
87,-0.859349,0.084077,32.372643,0.985854,0.999832
88,-0.851637,0.075356,31.317408,1.013755,0.999857
89,-0.862232,0.071093,32.35545,0.988604,0.999879
90,-0.85702,0.079228,32.370064,1.14322,0.9999
91,-0.856557,0.075329,32.041889,1.174701,0.999919
92,-0.85602,0.079788,32.79464,1.047616,0.999936
93,-0.856432,0.0801,32.786469,1.033487,0.999951
94,-0.858963,0.084432,33.770607,1.11359,0.999964
95,-0.858648,0.084899,33.842934,1.015028,0.999975
96,-0.857413,0.079721,34.038605,1.073528,0.999984
97,-0.856015,0.0807,34.141563,1.156023,0.999991
98,-0.86549,0.077761,34.612267,1.247016,0.999996
99,-0.859715,0.076485,35.082157,1.121486,0.999999
100,-0.863937,0.074844,35.778492,1.26117,1.0
