Epoch 1 | Loss -0.6912 ± 0.0873 | Feature Std 2.2452 ± 0.5752 | Momentum 0.9960
Epoch 2 | Loss -0.8377 ± 0.0509 | Feature Std 3.3041 ± 0.2272 | Momentum 0.9960
Epoch 3 | Loss -0.8492 ± 0.0419 | Feature Std 3.2813 ± 0.3359 | Momentum 0.9960
Epoch 4 | Loss -0.8338 ± 0.0487 | Feature Std 3.2842 ± 0.2969 | Momentum 0.9960
Epoch 5 | Loss -0.8519 ± 0.0567 | Feature Std 3.3919 ± 0.3296 | Momentum 0.9960
Epoch 6 | Loss -0.8659 ± 0.0489 | Feature Std 4.2693 ± 0.3183 | Momentum 0.9960
Epoch 7 | Loss -0.8735 ± 0.0510 | Feature Std 4.1490 ± 0.3490 | Momentum 0.9960
Epoch 8 | Loss -0.8506 ± 0.0507 | Feature Std 4.4562 ± 0.5526 | Momentum 0.9960
Epoch 9 | Loss -0.8646 ± 0.0540 | Feature Std 4.7796 ± 0.2975 | Momentum 0.9961
Epoch 10 | Loss -0.8864 ± 0.0463 | Feature Std 4.7998 ± 0.3864 | Momentum 0.9961
Epoch 11 | Loss -0.8892 ± 0.0436 | Feature Std 4.8558 ± 0.3943 | Momentum 0.9961
Epoch 12 | Loss -0.8911 ± 0.0415 | Feature Std 5.3135 ± 0.3985 | Momentum 0.9961
Epoch 13 | Loss -0.8917 ± 0.0383 | Feature Std 5.2037 ± 0.5713 | Momentum 0.9961
Epoch 14 | Loss -0.8847 ± 0.0409 | Feature Std 5.4737 ± 0.4865 | Momentum 0.9962
Epoch 15 | Loss -0.8777 ± 0.0441 | Feature Std 5.6618 ± 0.4845 | Momentum 0.9962
Epoch 16 | Loss -0.8723 ± 0.0486 | Feature Std 6.0346 ± 0.4700 | Momentum 0.9962
Epoch 17 | Loss -0.8737 ± 0.0458 | Feature Std 6.4011 ± 0.4870 | Momentum 0.9963
Epoch 18 | Loss -0.8663 ± 0.0456 | Feature Std 5.7255 ± 0.6549 | Momentum 0.9963
Epoch 19 | Loss -0.8450 ± 0.0429 | Feature Std 5.2319 ± 0.5726 | Momentum 0.9963
Epoch 20 | Loss -0.8370 ± 0.0439 | Feature Std 6.3254 ± 0.8163 | Momentum 0.9964
