epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.685908,0.115886,0.922216,0.267252,0.996
2,-0.795053,0.026724,1.234071,0.041589,0.996001
3,-0.826067,0.023834,1.348612,0.066554,0.996004
4,-0.858065,0.022672,1.498613,0.034397,0.996009
5,-0.8696,0.028809,1.516527,0.045477,0.996016
6,-0.880707,0.024522,1.596112,0.061538,0.996025
7,-0.887994,0.025804,1.702753,0.045756,0.996036
8,-0.899566,0.01999,1.714745,0.042196,0.996049
9,-0.89692,0.026082,1.763841,0.038441,0.996064
10,-0.902949,0.020459,1.766063,0.03655,0.996081
11,-0.897478,0.025867,1.797688,0.047683,0.9961
12,-0.90722,0.021297,1.844713,0.037351,0.996121
13,-0.906824,0.023466,1.901526,0.040066,0.996143
14,-0.904684,0.022049,1.924943,0.052437,0.996168
15,-0.903366,0.02495,1.988343,0.055226,0.996194
16,-0.90273,0.026499,1.991463,0.038542,0.996222
17,-0.901565,0.025612,2.104903,0.071801,0.996252
18,-0.904239,0.02704,2.188366,0.07581,0.996284
19,-0.901666,0.026288,2.282695,0.051634,0.996317
20,-0.901811,0.026706,2.249634,0.05046,0.996353
21,-0.899005,0.027913,2.318293,0.050903,0.996389
22,-0.898887,0.023733,2.317662,0.06668,0.996428
23,-0.907568,0.023584,2.295201,0.044062,0.996468
24,-0.90841,0.026333,2.310082,0.06611,0.996509
25,-0.906506,0.025138,2.457825,0.074365,0.996553
26,-0.907317,0.021202,2.535784,0.06488,0.996597
27,-0.905952,0.028948,2.624808,0.064525,0.996643
28,-0.912601,0.022504,2.669289,0.056236,0.99669
29,-0.914053,0.027509,2.688721,0.064606,0.996739
30,-0.920256,0.021168,2.68684,0.061085,0.996789
31,-0.917363,0.020105,2.753603,0.074474,0.99684
32,-0.914956,0.026699,2.820349,0.084213,0.996892
33,-0.918586,0.024365,2.906869,0.063346,0.996946
34,-0.922504,0.020559,2.978581,0.07019,0.997
35,-0.914315,0.021116,3.040319,0.079483,0.997055
36,-0.903148,0.023988,3.009003,0.096525,0.997112
37,-0.90605,0.022956,3.096987,0.069156,0.997169
38,-0.904129,0.021658,3.097902,0.08388,0.997227
39,-0.893484,0.030163,3.172033,0.07383,0.997286
40,-0.900297,0.024693,3.215073,0.091507,0.997346
41,-0.904909,0.02188,3.285404,0.07853,0.997406
42,-0.904574,0.022789,3.358582,0.102273,0.997467
43,-0.912795,0.02336,3.422855,0.090785,0.997528
44,-0.908361,0.024259,3.536416,0.104059,0.99759
45,-0.906972,0.024658,3.500659,0.076403,0.997653
46,-0.909912,0.027004,3.44906,0.102536,0.997715
47,-0.905925,0.01978,3.502857,0.077781,0.997778
48,-0.902415,0.023731,3.469098,0.077943,0.997842
49,-0.908493,0.02372,3.455309,0.082958,0.997905
50,-0.903867,0.024777,3.493729,0.098624,0.997968
51,-0.902975,0.021872,3.590002,0.097743,0.998032
52,-0.902194,0.024437,3.627099,0.07839,0.998095
53,-0.901179,0.020943,3.587727,0.076944,0.998158
54,-0.902792,0.027616,3.658917,0.086798,0.998222
55,-0.901436,0.022942,3.650984,0.065611,0.998285
56,-0.902238,0.020382,3.622641,0.051059,0.998347
57,-0.8987,0.025466,3.634989,0.083218,0.99841
58,-0.895384,0.02502,3.72279,0.075526,0.998472
59,-0.893874,0.027807,3.705996,0.082973,0.998533
60,-0.902095,0.028388,3.695056,0.059882,0.998594
61,-0.900568,0.023331,3.699467,0.066178,0.998654
62,-0.894411,0.031097,3.614152,0.071337,0.998714
63,-0.898327,0.023335,3.582992,0.078519,0.998773
64,-0.899662,0.028557,3.698631,0.129238,0.998831
65,-0.897038,0.023816,3.820996,0.072708,0.998888
66,-0.894266,0.023842,3.789636,0.077792,0.998945
67,-0.887569,0.028025,3.824921,0.098779,0.999
68,-0.893713,0.025842,3.852364,0.075791,0.999054
69,-0.898749,0.02893,3.920662,0.07061,0.999108
70,-0.889777,0.029991,3.887864,0.100001,0.99916
71,-0.894018,0.025053,3.955597,0.079566,0.999211
72,-0.892726,0.027124,3.959687,0.072445,0.999261
73,-0.892075,0.026645,3.854807,0.083226,0.99931
74,-0.885221,0.027797,3.666398,0.071812,0.999357
75,-0.88263,0.030152,3.831823,0.100271,0.999403
76,-0.887864,0.030238,4.028244,0.080664,0.999447
77,-0.887793,0.023524,3.913481,0.060106,0.999491
78,-0.888835,0.030879,3.976353,0.062111,0.999532
79,-0.891303,0.027312,3.879811,0.078082,0.999572
80,-0.886278,0.030555,3.757528,0.12508,0.999611
81,-0.885458,0.027273,3.751539,0.106102,0.999647
82,-0.88475,0.025816,3.856141,0.062535,0.999683
83,-0.877588,0.02943,3.790406,0.069947,0.999716
84,-0.889396,0.02845,3.943175,0.0689,0.999748
85,-0.88585,0.026544,3.840403,0.098633,0.999778
86,-0.884003,0.029616,3.757098,0.081143,0.999806
87,-0.88619,0.026543,3.812411,0.108986,0.999832
88,-0.884827,0.032048,3.781872,0.082973,0.999857
89,-0.880265,0.029988,3.982151,0.069663,0.999879
90,-0.884778,0.023427,3.96998,0.074121,0.9999
91,-0.883527,0.029196,3.761065,0.089536,0.999919
92,-0.883255,0.035991,3.854839,0.089906,0.999936
93,-0.879813,0.027379,3.810194,0.078764,0.999951
94,-0.886348,0.023116,3.878814,0.101335,0.999964
95,-0.885375,0.028396,3.874172,0.117737,0.999975
96,-0.884763,0.026975,4.058456,0.093998,0.999984
97,-0.887472,0.028001,3.979827,0.082411,0.999991
