Epoch 1 | Loss -0.6859 ± 0.1159 | Feature Std 0.9222 ± 0.2673 | Momentum 0.9960
Epoch 2 | Loss -0.7951 ± 0.0267 | Feature Std 1.2341 ± 0.0416 | Momentum 0.9960
Epoch 3 | Loss -0.8261 ± 0.0238 | Feature Std 1.3486 ± 0.0666 | Momentum 0.9960
Epoch 4 | Loss -0.8581 ± 0.0227 | Feature Std 1.4986 ± 0.0344 | Momentum 0.9960
Epoch 5 | Loss -0.8696 ± 0.0288 | Feature Std 1.5165 ± 0.0455 | Momentum 0.9960
Epoch 6 | Loss -0.8807 ± 0.0245 | Feature Std 1.5961 ± 0.0615 | Momentum 0.9960
Epoch 7 | Loss -0.8880 ± 0.0258 | Feature Std 1.7028 ± 0.0458 | Momentum 0.9960
Epoch 8 | Loss -0.8996 ± 0.0200 | Feature Std 1.7147 ± 0.0422 | Momentum 0.9960
Epoch 9 | Loss -0.8969 ± 0.0261 | Feature Std 1.7638 ± 0.0384 | Momentum 0.9961
Epoch 10 | Loss -0.9029 ± 0.0205 | Feature Std 1.7661 ± 0.0365 | Momentum 0.9961
Epoch 11 | Loss -0.8975 ± 0.0259 | Feature Std 1.7977 ± 0.0477 | Momentum 0.9961
Epoch 12 | Loss -0.9072 ± 0.0213 | Feature Std 1.8447 ± 0.0374 | Momentum 0.9961
Epoch 13 | Loss -0.9068 ± 0.0235 | Feature Std 1.9015 ± 0.0401 | Momentum 0.9961
Epoch 14 | Loss -0.9047 ± 0.0220 | Feature Std 1.9249 ± 0.0524 | Momentum 0.9962
Epoch 15 | Loss -0.9034 ± 0.0249 | Feature Std 1.9883 ± 0.0552 | Momentum 0.9962
Epoch 16 | Loss -0.9027 ± 0.0265 | Feature Std 1.9915 ± 0.0385 | Momentum 0.9962
Epoch 17 | Loss -0.9016 ± 0.0256 | Feature Std 2.1049 ± 0.0718 | Momentum 0.9963
Epoch 18 | Loss -0.9042 ± 0.0270 | Feature Std 2.1884 ± 0.0758 | Momentum 0.9963
Epoch 19 | Loss -0.9017 ± 0.0263 | Feature Std 2.2827 ± 0.0516 | Momentum 0.9963
Epoch 20 | Loss -0.9018 ± 0.0267 | Feature Std 2.2496 ± 0.0505 | Momentum 0.9964
Epoch 21 | Loss -0.8990 ± 0.0279 | Feature Std 2.3183 ± 0.0509 | Momentum 0.9964
Epoch 22 | Loss -0.8989 ± 0.0237 | Feature Std 2.3177 ± 0.0667 | Momentum 0.9964
Epoch 23 | Loss -0.9076 ± 0.0236 | Feature Std 2.2952 ± 0.0441 | Momentum 0.9965
Epoch 24 | Loss -0.9084 ± 0.0263 | Feature Std 2.3101 ± 0.0661 | Momentum 0.9965
Epoch 25 | Loss -0.9065 ± 0.0251 | Feature Std 2.4578 ± 0.0744 | Momentum 0.9966
Epoch 26 | Loss -0.9073 ± 0.0212 | Feature Std 2.5358 ± 0.0649 | Momentum 0.9966
Epoch 27 | Loss -0.9060 ± 0.0289 | Feature Std 2.6248 ± 0.0645 | Momentum 0.9966
Epoch 28 | Loss -0.9126 ± 0.0225 | Feature Std 2.6693 ± 0.0562 | Momentum 0.9967
Epoch 29 | Loss -0.9141 ± 0.0275 | Feature Std 2.6887 ± 0.0646 | Momentum 0.9967
Epoch 30 | Loss -0.9203 ± 0.0212 | Feature Std 2.6868 ± 0.0611 | Momentum 0.9968
Epoch 31 | Loss -0.9174 ± 0.0201 | Feature Std 2.7536 ± 0.0745 | Momentum 0.9968
Epoch 32 | Loss -0.9150 ± 0.0267 | Feature Std 2.8203 ± 0.0842 | Momentum 0.9969
Epoch 33 | Loss -0.9186 ± 0.0244 | Feature Std 2.9069 ± 0.0633 | Momentum 0.9969
Epoch 34 | Loss -0.9225 ± 0.0206 | Feature Std 2.9786 ± 0.0702 | Momentum 0.9970
Epoch 35 | Loss -0.9143 ± 0.0211 | Feature Std 3.0403 ± 0.0795 | Momentum 0.9971
Epoch 36 | Loss -0.9031 ± 0.0240 | Feature Std 3.0090 ± 0.0965 | Momentum 0.9971
Epoch 37 | Loss -0.9061 ± 0.0230 | Feature Std 3.0970 ± 0.0692 | Momentum 0.9972
Epoch 38 | Loss -0.9041 ± 0.0217 | Feature Std 3.0979 ± 0.0839 | Momentum 0.9972
Epoch 39 | Loss -0.8935 ± 0.0302 | Feature Std 3.1720 ± 0.0738 | Momentum 0.9973
Epoch 40 | Loss -0.9003 ± 0.0247 | Feature Std 3.2151 ± 0.0915 | Momentum 0.9973
Epoch 41 | Loss -0.9049 ± 0.0219 | Feature Std 3.2854 ± 0.0785 | Momentum 0.9974
Epoch 42 | Loss -0.9046 ± 0.0228 | Feature Std 3.3586 ± 0.1023 | Momentum 0.9975
Epoch 43 | Loss -0.9128 ± 0.0234 | Feature Std 3.4229 ± 0.0908 | Momentum 0.9975
Epoch 44 | Loss -0.9084 ± 0.0243 | Feature Std 3.5364 ± 0.1041 | Momentum 0.9976
Epoch 45 | Loss -0.9070 ± 0.0247 | Feature Std 3.5007 ± 0.0764 | Momentum 0.9977
Epoch 46 | Loss -0.9099 ± 0.0270 | Feature Std 3.4491 ± 0.1025 | Momentum 0.9977
Epoch 47 | Loss -0.9059 ± 0.0198 | Feature Std 3.5029 ± 0.0778 | Momentum 0.9978
Epoch 48 | Loss -0.9024 ± 0.0237 | Feature Std 3.4691 ± 0.0779 | Momentum 0.9978
Epoch 49 | Loss -0.9085 ± 0.0237 | Feature Std 3.4553 ± 0.0830 | Momentum 0.9979
Epoch 50 | Loss -0.9039 ± 0.0248 | Feature Std 3.4937 ± 0.0986 | Momentum 0.9980
Epoch 51 | Loss -0.9030 ± 0.0219 | Feature Std 3.5900 ± 0.0977 | Momentum 0.9980
Epoch 52 | Loss -0.9022 ± 0.0244 | Feature Std 3.6271 ± 0.0784 | Momentum 0.9981
Epoch 53 | Loss -0.9012 ± 0.0209 | Feature Std 3.5877 ± 0.0769 | Momentum 0.9982
Epoch 54 | Loss -0.9028 ± 0.0276 | Feature Std 3.6589 ± 0.0868 | Momentum 0.9982
Epoch 55 | Loss -0.9014 ± 0.0229 | Feature Std 3.6510 ± 0.0656 | Momentum 0.9983
Epoch 56 | Loss -0.9022 ± 0.0204 | Feature Std 3.6226 ± 0.0511 | Momentum 0.9983
Epoch 57 | Loss -0.8987 ± 0.0255 | Feature Std 3.6350 ± 0.0832 | Momentum 0.9984
Epoch 58 | Loss -0.8954 ± 0.0250 | Feature Std 3.7228 ± 0.0755 | Momentum 0.9985
Epoch 59 | Loss -0.8939 ± 0.0278 | Feature Std 3.7060 ± 0.0830 | Momentum 0.9985
Epoch 60 | Loss -0.9021 ± 0.0284 | Feature Std 3.6951 ± 0.0599 | Momentum 0.9986
Epoch 61 | Loss -0.9006 ± 0.0233 | Feature Std 3.6995 ± 0.0662 | Momentum 0.9987
Epoch 62 | Loss -0.8944 ± 0.0311 | Feature Std 3.6142 ± 0.0713 | Momentum 0.9987
Epoch 63 | Loss -0.8983 ± 0.0233 | Feature Std 3.5830 ± 0.0785 | Momentum 0.9988
Epoch 64 | Loss -0.8997 ± 0.0286 | Feature Std 3.6986 ± 0.1292 | Momentum 0.9988
Epoch 65 | Loss -0.8970 ± 0.0238 | Feature Std 3.8210 ± 0.0727 | Momentum 0.9989
Epoch 66 | Loss -0.8943 ± 0.0238 | Feature Std 3.7896 ± 0.0778 | Momentum 0.9989
Epoch 67 | Loss -0.8876 ± 0.0280 | Feature Std 3.8249 ± 0.0988 | Momentum 0.9990
Epoch 68 | Loss -0.8937 ± 0.0258 | Feature Std 3.8524 ± 0.0758 | Momentum 0.9991
Epoch 69 | Loss -0.8987 ± 0.0289 | Feature Std 3.9207 ± 0.0706 | Momentum 0.9991
Epoch 70 | Loss -0.8898 ± 0.0300 | Feature Std 3.8879 ± 0.1000 | Momentum 0.9992
Epoch 71 | Loss -0.8940 ± 0.0251 | Feature Std 3.9556 ± 0.0796 | Momentum 0.9992
Epoch 72 | Loss -0.8927 ± 0.0271 | Feature Std 3.9597 ± 0.0724 | Momentum 0.9993
Epoch 73 | Loss -0.8921 ± 0.0266 | Feature Std 3.8548 ± 0.0832 | Momentum 0.9993
Epoch 74 | Loss -0.8852 ± 0.0278 | Feature Std 3.6664 ± 0.0718 | Momentum 0.9994
Epoch 75 | Loss -0.8826 ± 0.0302 | Feature Std 3.8318 ± 0.1003 | Momentum 0.9994
Epoch 76 | Loss -0.8879 ± 0.0302 | Feature Std 4.0282 ± 0.0807 | Momentum 0.9994
Epoch 77 | Loss -0.8878 ± 0.0235 | Feature Std 3.9135 ± 0.0601 | Momentum 0.9995
Epoch 78 | Loss -0.8888 ± 0.0309 | Feature Std 3.9764 ± 0.0621 | Momentum 0.9995
Epoch 79 | Loss -0.8913 ± 0.0273 | Feature Std 3.8798 ± 0.0781 | Momentum 0.9996
Epoch 80 | Loss -0.8863 ± 0.0306 | Feature Std 3.7575 ± 0.1251 | Momentum 0.9996
Epoch 81 | Loss -0.8855 ± 0.0273 | Feature Std 3.7515 ± 0.1061 | Momentum 0.9996
Epoch 82 | Loss -0.8847 ± 0.0258 | Feature Std 3.8561 ± 0.0625 | Momentum 0.9997
Epoch 83 | Loss -0.8776 ± 0.0294 | Feature Std 3.7904 ± 0.0699 | Momentum 0.9997
Epoch 84 | Loss -0.8894 ± 0.0284 | Feature Std 3.9432 ± 0.0689 | Momentum 0.9997
Epoch 85 | Loss -0.8859 ± 0.0265 | Feature Std 3.8404 ± 0.0986 | Momentum 0.9998
Epoch 86 | Loss -0.8840 ± 0.0296 | Feature Std 3.7571 ± 0.0811 | Momentum 0.9998
Epoch 87 | Loss -0.8862 ± 0.0265 | Feature Std 3.8124 ± 0.1090 | Momentum 0.9998
Epoch 88 | Loss -0.8848 ± 0.0320 | Feature Std 3.7819 ± 0.0830 | Momentum 0.9999
Epoch 89 | Loss -0.8803 ± 0.0300 | Feature Std 3.9822 ± 0.0697 | Momentum 0.9999
Epoch 90 | Loss -0.8848 ± 0.0234 | Feature Std 3.9700 ± 0.0741 | Momentum 0.9999
Epoch 91 | Loss -0.8835 ± 0.0292 | Feature Std 3.7611 ± 0.0895 | Momentum 0.9999
Epoch 92 | Loss -0.8833 ± 0.0360 | Feature Std 3.8548 ± 0.0899 | Momentum 0.9999
Epoch 93 | Loss -0.8798 ± 0.0274 | Feature Std 3.8102 ± 0.0788 | Momentum 1.0000
Epoch 94 | Loss -0.8863 ± 0.0231 | Feature Std 3.8788 ± 0.1013 | Momentum 1.0000
Epoch 95 | Loss -0.8854 ± 0.0284 | Feature Std 3.8742 ± 0.1177 | Momentum 1.0000
Epoch 96 | Loss -0.8848 ± 0.0270 | Feature Std 4.0585 ± 0.0940 | Momentum 1.0000
Epoch 97 | Loss -0.8875 ± 0.0280 | Feature Std 3.9798 ± 0.0824 | Momentum 1.0000
Epoch 98 | Loss -0.8918 ± 0.0247 | Feature Std 3.9246 ± 0.0655 | Momentum 1.0000
Epoch 99 | Loss -0.8938 ± 0.0235 | Feature Std 4.0346 ± 0.0644 | Momentum 1.0000
Epoch 100 | Loss -0.8880 ± 0.0277 | Feature Std 4.1020 ± 0.0889 | Momentum 1.0000
Epoch 101 | Loss -0.8941 ± 0.0270 | Feature Std 4.1910 ± 0.0819 | Momentum 0.9966
Epoch 102 | Loss -0.8820 ± 0.0311 | Feature Std 4.2653 ± 0.0510 | Momentum 0.9966
Epoch 103 | Loss -0.8771 ± 0.0266 | Feature Std 4.1735 ± 0.1523 | Momentum 0.9966
Epoch 104 | Loss -0.8778 ± 0.0237 | Feature Std 4.2960 ± 0.1082 | Momentum 0.9966
Epoch 105 | Loss -0.8715 ± 0.0242 | Feature Std 4.2625 ± 0.0733 | Momentum 0.9966
Epoch 106 | Loss -0.8728 ± 0.0332 | Feature Std 4.4050 ± 0.1240 | Momentum 0.9966
Epoch 107 | Loss -0.8618 ± 0.0284 | Feature Std 4.2912 ± 0.0901 | Momentum 0.9967
Epoch 108 | Loss -0.8750 ± 0.0295 | Feature Std 4.3240 ± 0.0922 | Momentum 0.9967
Epoch 109 | Loss -0.8691 ± 0.0271 | Feature Std 4.3877 ± 0.0892 | Momentum 0.9967
Epoch 110 | Loss -0.8657 ± 0.0274 | Feature Std 4.5074 ± 0.0814 | Momentum 0.9967
Epoch 111 | Loss -0.8625 ± 0.0297 | Feature Std 4.5911 ± 0.1154 | Momentum 0.9967
Epoch 112 | Loss -0.8649 ± 0.0259 | Feature Std 4.6930 ± 0.0818 | Momentum 0.9967
Epoch 113 | Loss -0.8545 ± 0.0283 | Feature Std 4.5672 ± 0.0824 | Momentum 0.9967
Epoch 114 | Loss -0.8550 ± 0.0312 | Feature Std 4.6073 ± 0.0989 | Momentum 0.9967
Epoch 115 | Loss -0.8494 ± 0.0307 | Feature Std 4.5719 ± 0.0988 | Momentum 0.9968
Epoch 116 | Loss -0.8525 ± 0.0308 | Feature Std 4.6787 ± 0.0850 | Momentum 0.9968
Epoch 117 | Loss -0.8539 ± 0.0282 | Feature Std 4.7014 ± 0.0766 | Momentum 0.9968
Epoch 118 | Loss -0.8554 ± 0.0244 | Feature Std 4.8541 ± 0.0817 | Momentum 0.9968
Epoch 119 | Loss -0.8550 ± 0.0269 | Feature Std 4.9297 ± 0.0945 | Momentum 0.9968
Epoch 120 | Loss -0.8452 ± 0.0260 | Feature Std 4.8841 ± 0.0902 | Momentum 0.9968
Epoch 121 | Loss -0.8541 ± 0.0299 | Feature Std 4.7964 ± 0.0879 | Momentum 0.9968
Epoch 122 | Loss -0.8520 ± 0.0302 | Feature Std 4.8097 ± 0.0803 | Momentum 0.9968
Epoch 123 | Loss -0.8580 ± 0.0286 | Feature Std 4.7708 ± 0.1065 | Momentum 0.9969
Epoch 124 | Loss -0.8578 ± 0.0235 | Feature Std 4.8024 ± 0.0504 | Momentum 0.9969
Epoch 125 | Loss -0.8574 ± 0.0244 | Feature Std 4.7949 ± 0.0581 | Momentum 0.9969
Epoch 126 | Loss -0.8585 ± 0.0228 | Feature Std 4.7794 ± 0.0914 | Momentum 0.9969
Epoch 127 | Loss -0.8623 ± 0.0195 | Feature Std 4.8655 ± 0.0681 | Momentum 0.9969
Epoch 128 | Loss -0.8672 ± 0.0207 | Feature Std 4.9021 ± 0.0768 | Momentum 0.9969
Epoch 129 | Loss -0.8674 ± 0.0240 | Feature Std 4.8345 ± 0.0695 | Momentum 0.9969
Epoch 130 | Loss -0.8760 ± 0.0234 | Feature Std 4.9373 ± 0.0715 | Momentum 0.9969
Epoch 131 | Loss -0.8726 ± 0.0206 | Feature Std 4.9707 ± 0.0735 | Momentum 0.9970
Epoch 132 | Loss -0.8763 ± 0.0224 | Feature Std 5.0101 ± 0.0657 | Momentum 0.9970
Epoch 133 | Loss -0.8751 ± 0.0217 | Feature Std 5.0196 ± 0.0796 | Momentum 0.9970
Epoch 134 | Loss -0.8745 ± 0.0235 | Feature Std 5.0402 ± 0.0878 | Momentum 0.9970
