epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.737401,0.105714,1.068104,0.218792,0.996
2,-0.844128,0.055959,1.43803,0.125959,0.996001
3,-0.892611,0.050042,1.657974,0.107225,0.996004
4,-0.915219,0.044646,1.78487,0.103386,0.996009
5,-0.924224,0.040075,1.839736,0.119332,0.996016
6,-0.92138,0.040385,2.218115,0.193526,0.996025
7,-0.91617,0.04747,2.656935,0.21513,0.996036
8,-0.907285,0.050498,3.012024,0.167166,0.996049
9,-0.904327,0.05905,3.322517,0.19512,0.996064
10,-0.902701,0.05642,3.488833,0.223563,0.996081
11,-0.917793,0.045248,3.589386,0.197918,0.9961
12,-0.924574,0.045621,3.584047,0.204289,0.996121
13,-0.935443,0.041096,3.519968,0.232757,0.996143
14,-0.932762,0.046231,3.605578,0.238432,0.996168
15,-0.934971,0.038682,3.765343,0.283239,0.996194
16,-0.934571,0.0422,3.871065,0.285966,0.996222
17,-0.93164,0.045392,3.809487,0.29196,0.996252
18,-0.931771,0.04392,4.064726,0.319918,0.996284
19,-0.932364,0.043586,4.184361,0.278945,0.996317
20,-0.928727,0.041388,4.183055,0.315394,0.996353
21,-0.92989,0.045428,4.334154,0.344874,0.996389
22,-0.932369,0.042135,4.708818,0.348857,0.996428
23,-0.923464,0.043462,5.235668,0.321498,0.996468
24,-0.928692,0.047435,5.412217,0.24922,0.996509
25,-0.92363,0.048112,5.260093,0.353977,0.996553
26,-0.917925,0.049325,5.334515,0.346102,0.996597
27,-0.926213,0.051313,5.3783,0.417179,0.996643
28,-0.937391,0.038234,5.33778,0.402676,0.99669
29,-0.943282,0.033885,5.390791,0.48594,0.996739
30,-0.951981,0.031468,5.887453,0.481017,0.996789
31,-0.947686,0.034813,6.236794,0.514767,0.99684
32,-0.941893,0.044045,6.408408,0.572126,0.996892
33,-0.94607,0.036331,6.741733,0.503096,0.996946
34,-0.93546,0.042491,6.98347,0.48811,0.997
35,-0.923884,0.046712,6.955647,0.482744,0.997055
36,-0.926418,0.046976,6.805375,0.522773,0.997112
37,-0.926309,0.045793,6.5633,0.530942,0.997169
38,-0.932769,0.041589,7.126078,0.475272,0.997227
39,-0.944378,0.0387,7.283996,0.503508,0.997286
40,-0.947984,0.032363,7.32328,0.61147,0.997346
41,-0.956281,0.028699,7.567383,0.647968,0.997406
42,-0.959498,0.028738,7.612525,0.684276,0.997467
43,-0.959838,0.027624,7.759756,0.7236,0.997528
44,-0.953031,0.030418,7.743181,0.833635,0.99759
45,-0.957202,0.02923,7.936512,0.675627,0.997653
46,-0.954242,0.030761,7.894105,0.691738,0.997715
47,-0.951515,0.035529,7.835796,0.720634,0.997778
48,-0.953994,0.030594,7.829073,0.612018,0.997842
49,-0.940872,0.041059,7.735151,0.629361,0.997905
50,-0.935784,0.040368,7.489953,0.600468,0.997968
51,-0.936952,0.041146,7.364749,0.548455,0.998032
52,-0.939953,0.04118,7.759308,0.567666,0.998095
53,-0.940525,0.033822,8.047189,0.693916,0.998158
54,-0.943253,0.034941,8.134323,0.672484,0.998222
55,-0.936979,0.035842,8.276645,0.696103,0.998285
56,-0.934534,0.037375,8.693937,0.643718,0.998347
57,-0.926659,0.046878,8.35502,0.643727,0.99841
58,-0.919428,0.04749,8.689343,0.695663,0.998472
59,-0.917226,0.044456,8.997179,0.691856,0.998533
60,-0.909704,0.045419,9.226254,0.719646,0.998594
61,-0.895218,0.053989,9.026107,0.615669,0.998654
62,-0.894035,0.051448,9.707512,0.481486,0.998714
63,-0.897066,0.04421,9.729897,0.430426,0.998773
64,-0.893009,0.049707,10.42209,0.417793,0.998831
65,-0.884699,0.053221,10.52597,0.367614,0.998888
66,-0.878914,0.062049,11.016493,0.410143,0.998945
67,-0.879988,0.052456,11.083024,0.397205,0.999
68,-0.87549,0.053578,11.406704,0.433321,0.999054
69,-0.873778,0.058391,11.584585,0.39425,0.999108
70,-0.866254,0.061835,11.785274,0.382941,0.99916
71,-0.864043,0.057375,12.116428,0.431523,0.999211
72,-0.853771,0.062305,12.490824,0.415886,0.999261
73,-0.857597,0.064786,12.724139,0.404636,0.99931
74,-0.865885,0.06443,13.257129,0.42266,0.999357
75,-0.863656,0.061826,13.476954,0.350454,0.999403
76,-0.863467,0.062589,13.518593,0.357462,0.999447
77,-0.856358,0.065651,13.743639,0.338921,0.999491
78,-0.864576,0.061678,13.890995,0.337301,0.999532
79,-0.871579,0.061117,14.335808,0.342144,0.999572
80,-0.871447,0.06478,14.530327,0.375963,0.999611
81,-0.865176,0.061108,14.756792,0.388095,0.999647
82,-0.864448,0.061585,14.894493,0.322814,0.999683
83,-0.871442,0.062525,15.037821,0.363923,0.999716
84,-0.872819,0.059275,15.353311,0.332916,0.999748
85,-0.870574,0.06219,15.566165,0.330624,0.999778
86,-0.870228,0.065771,15.727479,0.416047,0.999806
87,-0.869486,0.06177,15.672468,0.332997,0.999832
88,-0.86854,0.068452,15.555107,0.325302,0.999857
89,-0.874645,0.064639,15.913488,0.29766,0.999879
90,-0.87444,0.062176,16.04274,0.365417,0.9999
91,-0.879141,0.05532,16.124069,0.379401,0.999919
92,-0.880599,0.057299,16.399281,0.321792,0.999936
93,-0.873392,0.059823,16.290586,0.323328,0.999951
94,-0.879604,0.058435,16.132456,0.308888,0.999964
95,-0.881017,0.05836,15.893545,0.376912,0.999975
96,-0.875945,0.061422,16.178223,0.428215,0.999984
97,-0.883493,0.057657,16.59108,0.301343,0.999991
98,-0.883891,0.057887,16.653189,0.349167,0.999996
99,-0.888207,0.05748,16.80554,0.324397,0.999999
100,-0.883955,0.05645,16.822233,0.359735,1.0
