Epoch 1 | Loss -0.7374 ± 0.1057 | Feature Std 1.0681 ± 0.2188 | Momentum 0.9960
Epoch 2 | Loss -0.8441 ± 0.0560 | Feature Std 1.4380 ± 0.1260 | Momentum 0.9960
Epoch 3 | Loss -0.8926 ± 0.0500 | Feature Std 1.6580 ± 0.1072 | Momentum 0.9960
Epoch 4 | Loss -0.9152 ± 0.0446 | Feature Std 1.7849 ± 0.1034 | Momentum 0.9960
Epoch 5 | Loss -0.9242 ± 0.0401 | Feature Std 1.8397 ± 0.1193 | Momentum 0.9960
Epoch 6 | Loss -0.9214 ± 0.0404 | Feature Std 2.2181 ± 0.1935 | Momentum 0.9960
Epoch 7 | Loss -0.9162 ± 0.0475 | Feature Std 2.6569 ± 0.2151 | Momentum 0.9960
Epoch 8 | Loss -0.9073 ± 0.0505 | Feature Std 3.0120 ± 0.1672 | Momentum 0.9960
Epoch 9 | Loss -0.9043 ± 0.0590 | Feature Std 3.3225 ± 0.1951 | Momentum 0.9961
Epoch 10 | Loss -0.9027 ± 0.0564 | Feature Std 3.4888 ± 0.2236 | Momentum 0.9961
Epoch 11 | Loss -0.9178 ± 0.0452 | Feature Std 3.5894 ± 0.1979 | Momentum 0.9961
Epoch 12 | Loss -0.9246 ± 0.0456 | Feature Std 3.5840 ± 0.2043 | Momentum 0.9961
Epoch 13 | Loss -0.9354 ± 0.0411 | Feature Std 3.5200 ± 0.2328 | Momentum 0.9961
Epoch 14 | Loss -0.9328 ± 0.0462 | Feature Std 3.6056 ± 0.2384 | Momentum 0.9962
Epoch 15 | Loss -0.9350 ± 0.0387 | Feature Std 3.7653 ± 0.2832 | Momentum 0.9962
Epoch 16 | Loss -0.9346 ± 0.0422 | Feature Std 3.8711 ± 0.2860 | Momentum 0.9962
Epoch 17 | Loss -0.9316 ± 0.0454 | Feature Std 3.8095 ± 0.2920 | Momentum 0.9963
Epoch 18 | Loss -0.9318 ± 0.0439 | Feature Std 4.0647 ± 0.3199 | Momentum 0.9963
Epoch 19 | Loss -0.9324 ± 0.0436 | Feature Std 4.1844 ± 0.2789 | Momentum 0.9963
Epoch 20 | Loss -0.9287 ± 0.0414 | Feature Std 4.1831 ± 0.3154 | Momentum 0.9964
Epoch 21 | Loss -0.9299 ± 0.0454 | Feature Std 4.3342 ± 0.3449 | Momentum 0.9964
Epoch 22 | Loss -0.9324 ± 0.0421 | Feature Std 4.7088 ± 0.3489 | Momentum 0.9964
Epoch 23 | Loss -0.9235 ± 0.0435 | Feature Std 5.2357 ± 0.3215 | Momentum 0.9965
Epoch 24 | Loss -0.9287 ± 0.0474 | Feature Std 5.4122 ± 0.2492 | Momentum 0.9965
Epoch 25 | Loss -0.9236 ± 0.0481 | Feature Std 5.2601 ± 0.3540 | Momentum 0.9966
Epoch 26 | Loss -0.9179 ± 0.0493 | Feature Std 5.3345 ± 0.3461 | Momentum 0.9966
Epoch 27 | Loss -0.9262 ± 0.0513 | Feature Std 5.3783 ± 0.4172 | Momentum 0.9966
Epoch 28 | Loss -0.9374 ± 0.0382 | Feature Std 5.3378 ± 0.4027 | Momentum 0.9967
Epoch 29 | Loss -0.9433 ± 0.0339 | Feature Std 5.3908 ± 0.4859 | Momentum 0.9967
Epoch 30 | Loss -0.9520 ± 0.0315 | Feature Std 5.8875 ± 0.4810 | Momentum 0.9968
Epoch 31 | Loss -0.9477 ± 0.0348 | Feature Std 6.2368 ± 0.5148 | Momentum 0.9968
Epoch 32 | Loss -0.9419 ± 0.0440 | Feature Std 6.4084 ± 0.5721 | Momentum 0.9969
Epoch 33 | Loss -0.9461 ± 0.0363 | Feature Std 6.7417 ± 0.5031 | Momentum 0.9969
Epoch 34 | Loss -0.9355 ± 0.0425 | Feature Std 6.9835 ± 0.4881 | Momentum 0.9970
