epoch,avg_loss,loss_std,avg_feature_std,feature_spread,momentum
1,-0.742266,0.087611,1.229648,0.299388,0.996
2,-0.849603,0.054807,1.703543,0.156488,0.996001
3,-0.887357,0.04331,1.956758,0.20239,0.996004
4,-0.895632,0.048665,2.292037,0.184507,0.996009
5,-0.890254,0.052193,2.540573,0.197543,0.996016
6,-0.897336,0.054414,2.718204,0.165566,0.996025
7,-0.89829,0.051777,2.929035,0.177025,0.996036
8,-0.897009,0.050839,3.162205,0.252526,0.996049
9,-0.892495,0.048967,3.401896,0.18016,0.996064
10,-0.902284,0.051642,3.463128,0.167332,0.996081
11,-0.9089,0.043585,3.799228,0.222978,0.9961
12,-0.905239,0.047326,4.054072,0.210047,0.996121
13,-0.919824,0.046836,4.113167,0.231227,0.996143
14,-0.921992,0.040705,4.367297,0.244971,0.996168
15,-0.919854,0.044194,4.503883,0.26517,0.996194
16,-0.921452,0.041522,4.602407,0.255548,0.996222
17,-0.927782,0.041055,4.780485,0.304207,0.996252
18,-0.929645,0.044151,4.796382,0.279739,0.996284
19,-0.938944,0.034476,4.755795,0.315449,0.996317
20,-0.934713,0.036588,4.929432,0.325976,0.996353
21,-0.934804,0.03886,5.177765,0.315026,0.996389
22,-0.923046,0.041352,5.300744,0.413736,0.996428
23,-0.909817,0.045234,5.689496,0.310041,0.996468
24,-0.891473,0.054078,5.483918,0.335689,0.996509
25,-0.897301,0.049922,5.730975,0.260485,0.996553
26,-0.884271,0.060945,5.916258,0.286515,0.996597
27,-0.864678,0.060681,5.33272,0.345631,0.996643
28,-0.853669,0.064246,4.963553,0.262952,0.99669
29,-0.834796,0.071734,4.953718,0.348896,0.996739
30,-0.810898,0.071488,5.192964,0.268397,0.996789
31,-0.791096,0.084487,5.42569,0.214063,0.99684
32,-0.778027,0.083289,5.817414,0.308717,0.996892
33,-0.779609,0.077163,5.986674,0.191329,0.996946
34,-0.790404,0.074474,6.280658,0.183759,0.997
35,-0.777491,0.085572,6.33952,0.226288,0.997055
36,-0.789901,0.082024,6.517632,0.227556,0.997112
37,-0.787547,0.075428,6.624712,0.224789,0.997169
38,-0.792769,0.076408,6.699685,0.250745,0.997227
39,-0.793897,0.075733,6.63179,0.275246,0.997286
40,-0.807499,0.069436,6.640533,0.253222,0.997346
41,-0.802591,0.067755,6.733466,0.285671,0.997406
42,-0.808078,0.071899,6.782042,0.308429,0.997467
43,-0.816756,0.066112,7.139219,0.3003,0.997528
44,-0.826871,0.061339,7.339828,0.304346,0.99759
45,-0.826043,0.05916,7.334455,0.373296,0.997653
46,-0.826079,0.06384,7.50166,0.394742,0.997715
47,-0.825621,0.059496,7.519597,0.423254,0.997778
48,-0.821488,0.064694,7.611687,0.46358,0.997842
49,-0.828215,0.064679,7.847532,0.530372,0.997905
50,-0.828088,0.063919,7.771919,0.598852,0.997968
51,-0.824426,0.065543,7.932423,0.613432,0.998032
52,-0.821316,0.064677,8.040772,0.61806,0.998095
53,-0.822483,0.065801,8.178133,0.638029,0.998158
54,-0.820755,0.067927,8.311945,0.570402,0.998222
55,-0.830377,0.063633,8.519153,0.628307,0.998285
56,-0.821158,0.067066,8.718651,0.611134,0.998347
57,-0.825987,0.069206,8.850209,0.535734,0.99841
58,-0.832235,0.062774,8.955758,0.576524,0.998472
59,-0.832155,0.060823,9.090396,0.533394,0.998533
60,-0.834554,0.062668,9.094654,0.593248,0.998594
61,-0.842733,0.06076,9.134891,0.656936,0.998654
62,-0.844428,0.05686,9.335821,0.65766,0.998714
63,-0.852789,0.057104,9.490356,0.597453,0.998773
64,-0.853113,0.06327,9.57422,0.63488,0.998831
65,-0.850409,0.055206,9.576178,0.461049,0.998888
66,-0.852093,0.063381,9.610125,0.600781,0.998945
67,-0.85274,0.055823,9.663009,0.536063,0.999
68,-0.855937,0.059347,9.740135,0.559686,0.999054
69,-0.862167,0.052242,9.895611,0.607339,0.999108
70,-0.8618,0.053793,9.955243,0.531511,0.99916
