Epoch 1 | Loss -0.7423 ± 0.0876 | Feature Std 1.2296 ± 0.2994 | Momentum 0.9960
Epoch 2 | Loss -0.8496 ± 0.0548 | Feature Std 1.7035 ± 0.1565 | Momentum 0.9960
Epoch 3 | Loss -0.8874 ± 0.0433 | Feature Std 1.9568 ± 0.2024 | Momentum 0.9960
Epoch 4 | Loss -0.8956 ± 0.0487 | Feature Std 2.2920 ± 0.1845 | Momentum 0.9960
Epoch 5 | Loss -0.8903 ± 0.0522 | Feature Std 2.5406 ± 0.1975 | Momentum 0.9960
Epoch 6 | Loss -0.8973 ± 0.0544 | Feature Std 2.7182 ± 0.1656 | Momentum 0.9960
Epoch 7 | Loss -0.8983 ± 0.0518 | Feature Std 2.9290 ± 0.1770 | Momentum 0.9960
Epoch 8 | Loss -0.8970 ± 0.0508 | Feature Std 3.1622 ± 0.2525 | Momentum 0.9960
Epoch 9 | Loss -0.8925 ± 0.0490 | Feature Std 3.4019 ± 0.1802 | Momentum 0.9961
Epoch 10 | Loss -0.9023 ± 0.0516 | Feature Std 3.4631 ± 0.1673 | Momentum 0.9961
Epoch 11 | Loss -0.9089 ± 0.0436 | Feature Std 3.7992 ± 0.2230 | Momentum 0.9961
Epoch 12 | Loss -0.9052 ± 0.0473 | Feature Std 4.0541 ± 0.2100 | Momentum 0.9961
Epoch 13 | Loss -0.9198 ± 0.0468 | Feature Std 4.1132 ± 0.2312 | Momentum 0.9961
Epoch 14 | Loss -0.9220 ± 0.0407 | Feature Std 4.3673 ± 0.2450 | Momentum 0.9962
Epoch 15 | Loss -0.9199 ± 0.0442 | Feature Std 4.5039 ± 0.2652 | Momentum 0.9962
Epoch 16 | Loss -0.9215 ± 0.0415 | Feature Std 4.6024 ± 0.2555 | Momentum 0.9962
Epoch 17 | Loss -0.9278 ± 0.0411 | Feature Std 4.7805 ± 0.3042 | Momentum 0.9963
Epoch 18 | Loss -0.9296 ± 0.0442 | Feature Std 4.7964 ± 0.2797 | Momentum 0.9963
Epoch 19 | Loss -0.9389 ± 0.0345 | Feature Std 4.7558 ± 0.3154 | Momentum 0.9963
Epoch 20 | Loss -0.9347 ± 0.0366 | Feature Std 4.9294 ± 0.3260 | Momentum 0.9964
Epoch 21 | Loss -0.9348 ± 0.0389 | Feature Std 5.1778 ± 0.3150 | Momentum 0.9964
Epoch 22 | Loss -0.9230 ± 0.0414 | Feature Std 5.3007 ± 0.4137 | Momentum 0.9964
Epoch 23 | Loss -0.9098 ± 0.0452 | Feature Std 5.6895 ± 0.3100 | Momentum 0.9965
Epoch 24 | Loss -0.8915 ± 0.0541 | Feature Std 5.4839 ± 0.3357 | Momentum 0.9965
Epoch 25 | Loss -0.8973 ± 0.0499 | Feature Std 5.7310 ± 0.2605 | Momentum 0.9966
Epoch 26 | Loss -0.8843 ± 0.0609 | Feature Std 5.9163 ± 0.2865 | Momentum 0.9966
Epoch 27 | Loss -0.8647 ± 0.0607 | Feature Std 5.3327 ± 0.3456 | Momentum 0.9966
Epoch 28 | Loss -0.8537 ± 0.0642 | Feature Std 4.9636 ± 0.2630 | Momentum 0.9967
Epoch 29 | Loss -0.8348 ± 0.0717 | Feature Std 4.9537 ± 0.3489 | Momentum 0.9967
Epoch 30 | Loss -0.8109 ± 0.0715 | Feature Std 5.1930 ± 0.2684 | Momentum 0.9968
Epoch 31 | Loss -0.7911 ± 0.0845 | Feature Std 5.4257 ± 0.2141 | Momentum 0.9968
Epoch 32 | Loss -0.7780 ± 0.0833 | Feature Std 5.8174 ± 0.3087 | Momentum 0.9969
Epoch 33 | Loss -0.7796 ± 0.0772 | Feature Std 5.9867 ± 0.1913 | Momentum 0.9969
Epoch 34 | Loss -0.7904 ± 0.0745 | Feature Std 6.2807 ± 0.1838 | Momentum 0.9970
Epoch 35 | Loss -0.7775 ± 0.0856 | Feature Std 6.3395 ± 0.2263 | Momentum 0.9971
Epoch 36 | Loss -0.7899 ± 0.0820 | Feature Std 6.5176 ± 0.2276 | Momentum 0.9971
Epoch 37 | Loss -0.7875 ± 0.0754 | Feature Std 6.6247 ± 0.2248 | Momentum 0.9972
Epoch 38 | Loss -0.7928 ± 0.0764 | Feature Std 6.6997 ± 0.2507 | Momentum 0.9972
Epoch 39 | Loss -0.7939 ± 0.0757 | Feature Std 6.6318 ± 0.2752 | Momentum 0.9973
Epoch 40 | Loss -0.8075 ± 0.0694 | Feature Std 6.6405 ± 0.2532 | Momentum 0.9973
Epoch 41 | Loss -0.8026 ± 0.0678 | Feature Std 6.7335 ± 0.2857 | Momentum 0.9974
Epoch 42 | Loss -0.8081 ± 0.0719 | Feature Std 6.7820 ± 0.3084 | Momentum 0.9975
Epoch 43 | Loss -0.8168 ± 0.0661 | Feature Std 7.1392 ± 0.3003 | Momentum 0.9975
Epoch 44 | Loss -0.8269 ± 0.0613 | Feature Std 7.3398 ± 0.3043 | Momentum 0.9976
Epoch 45 | Loss -0.8260 ± 0.0592 | Feature Std 7.3345 ± 0.3733 | Momentum 0.9977
Epoch 46 | Loss -0.8261 ± 0.0638 | Feature Std 7.5017 ± 0.3947 | Momentum 0.9977
Epoch 47 | Loss -0.8256 ± 0.0595 | Feature Std 7.5196 ± 0.4233 | Momentum 0.9978
Epoch 48 | Loss -0.8215 ± 0.0647 | Feature Std 7.6117 ± 0.4636 | Momentum 0.9978
Epoch 49 | Loss -0.8282 ± 0.0647 | Feature Std 7.8475 ± 0.5304 | Momentum 0.9979
Epoch 50 | Loss -0.8281 ± 0.0639 | Feature Std 7.7719 ± 0.5989 | Momentum 0.9980
Epoch 51 | Loss -0.8244 ± 0.0655 | Feature Std 7.9324 ± 0.6134 | Momentum 0.9980
Epoch 52 | Loss -0.8213 ± 0.0647 | Feature Std 8.0408 ± 0.6181 | Momentum 0.9981
Epoch 53 | Loss -0.8225 ± 0.0658 | Feature Std 8.1781 ± 0.6380 | Momentum 0.9982
Epoch 54 | Loss -0.8208 ± 0.0679 | Feature Std 8.3119 ± 0.5704 | Momentum 0.9982
Epoch 55 | Loss -0.8304 ± 0.0636 | Feature Std 8.5192 ± 0.6283 | Momentum 0.9983
Epoch 56 | Loss -0.8212 ± 0.0671 | Feature Std 8.7187 ± 0.6111 | Momentum 0.9983
Epoch 57 | Loss -0.8260 ± 0.0692 | Feature Std 8.8502 ± 0.5357 | Momentum 0.9984
Epoch 58 | Loss -0.8322 ± 0.0628 | Feature Std 8.9558 ± 0.5765 | Momentum 0.9985
Epoch 59 | Loss -0.8322 ± 0.0608 | Feature Std 9.0904 ± 0.5334 | Momentum 0.9985
Epoch 60 | Loss -0.8346 ± 0.0627 | Feature Std 9.0947 ± 0.5932 | Momentum 0.9986
Epoch 61 | Loss -0.8427 ± 0.0608 | Feature Std 9.1349 ± 0.6569 | Momentum 0.9987
Epoch 62 | Loss -0.8444 ± 0.0569 | Feature Std 9.3358 ± 0.6577 | Momentum 0.9987
Epoch 63 | Loss -0.8528 ± 0.0571 | Feature Std 9.4904 ± 0.5975 | Momentum 0.9988
Epoch 64 | Loss -0.8531 ± 0.0633 | Feature Std 9.5742 ± 0.6349 | Momentum 0.9988
Epoch 65 | Loss -0.8504 ± 0.0552 | Feature Std 9.5762 ± 0.4610 | Momentum 0.9989
Epoch 66 | Loss -0.8521 ± 0.0634 | Feature Std 9.6101 ± 0.6008 | Momentum 0.9989
Epoch 67 | Loss -0.8527 ± 0.0558 | Feature Std 9.6630 ± 0.5361 | Momentum 0.9990
Epoch 68 | Loss -0.8559 ± 0.0593 | Feature Std 9.7401 ± 0.5597 | Momentum 0.9991
Epoch 69 | Loss -0.8622 ± 0.0522 | Feature Std 9.8956 ± 0.6073 | Momentum 0.9991
Epoch 70 | Loss -0.8618 ± 0.0538 | Feature Std 9.9552 ± 0.5315 | Momentum 0.9992
Epoch 71 | Loss -0.8612 ± 0.0588 | Feature Std 9.9928 ± 0.5314 | Momentum 0.9992
Epoch 72 | Loss -0.8643 ± 0.0512 | Feature Std 10.1222 ± 0.6040 | Momentum 0.9993
Epoch 73 | Loss -0.8670 ± 0.0527 | Feature Std 10.2304 ± 0.5298 | Momentum 0.9993
Epoch 74 | Loss -0.8685 ± 0.0547 | Feature Std 10.2265 ± 0.5469 | Momentum 0.9994
Epoch 75 | Loss -0.8673 ± 0.0568 | Feature Std 10.2837 ± 0.5188 | Momentum 0.9994
Epoch 76 | Loss -0.8738 ± 0.0486 | Feature Std 10.3955 ± 0.5388 | Momentum 0.9994
Epoch 77 | Loss -0.8702 ± 0.0570 | Feature Std 10.4211 ± 0.5240 | Momentum 0.9995
Epoch 78 | Loss -0.8711 ± 0.0540 | Feature Std 10.6189 ± 0.5345 | Momentum 0.9995
Epoch 79 | Loss -0.8746 ± 0.0525 | Feature Std 10.6833 ± 0.6043 | Momentum 0.9996
Epoch 80 | Loss -0.8754 ± 0.0543 | Feature Std 10.7076 ± 0.5500 | Momentum 0.9996
Epoch 81 | Loss -0.8756 ± 0.0557 | Feature Std 10.6941 ± 0.5382 | Momentum 0.9996
Epoch 82 | Loss -0.8773 ± 0.0511 | Feature Std 10.8443 ± 0.4942 | Momentum 0.9997
Epoch 83 | Loss -0.8784 ± 0.0504 | Feature Std 10.8317 ± 0.4873 | Momentum 0.9997
